row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014Trình bày lai,numeric__31/12/2015,numeric__31/12/2014Trình bày lai
,,,Triệu VND,Triệu VND,,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,5.217.923,4.092.806,5217923.0,4092806.0
Mua sắm sửa chữa lớn TSCĐ,Mua sắm sửa chữa lớn TSCĐ,Mua sắm sửa chữa lớn TSCĐ,2.567.700,2.523.241,2567700.0,2523241.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,2.478.555,2.900.542,2478555.0,2900542.0
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,539.307,431.639,539307.0,431639.0
,,,10.803.485,9.948.228,10803485.0,9948228.0
