row_label_raw,row_label_full,STT CHỈ TIÊU,STT CHỈ TIÊU_1,2015,2014Trình bày lại,numeric__STT CHỈ TIÊU_1,numeric__2015,numeric__2014Trình bày lại
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01.,01.,Mua sắm tài sản cố định,(1.865.168),(3.155.563),,-1865168.0,-3155563.0
02.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",233.121,1.250.025,,233121.0,1250025.0
03.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03.,03.,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",(18.286),-,,-18286.0,
04.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04.,04.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(1.297.511),-,,-1297511.0,
05.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05.,05.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",17.705,-,,17705.0,
06.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 06.,06.,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",496.626,48.307,,496626.0,48307.0
II.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(2.433.513),(1.857.231),,-2433513.0,-1857231.0
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(3.723.405),(3.723.405),,-3723405.0,-3723405.0
III.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,(3.723.405),(3.723.405),,-3723405.0,-3723405.0
IV.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,(4.920.994),12.887.246,,-4920994.0,12887246.0
V.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,87.008.802,74.109.396,,87008802.0,74109396.0
VI.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,15.373,12.160,,15373.0,12160.0
VII.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII.,VII.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 37),82.103.181,87.008.802,,82103181.0,87008802.0
