row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,VND > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__VND > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",92.584,517.612,4.378.889,14.492,5.003.577,92584.0,517612.0,4378889.0,14492.0,5003577.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.106.492,8.785.630,-,11.892.122,,3106492.0,8785630.0,,11892122.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),2.827.972,42.891.306,21.244.583,552.390,67.516.251,2827972.0,42891306.0,21244583.0,552390.0,67516251.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,3.200.074,-,3.200.074,,,3200074.0,,3200074.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,-,-,,,,,
Cho vay khách hàng (*),Công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng (*),Cho vay khách hàng (*),1.528.480,62.182.567,469.391.714,-,533.102.761,1528480.0,62182567.0,469391714.0,,533102761.0
Chứng khoán đầu tư (*),Công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,120.548.261,-,120.548.261,,,120548261.0,,120548261.0
"Góp vốn, đầu tư dài hạn (*)","Công cụ tài chính phải sinh và các tài sản tài chính khác > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.688.788,5.562.856,-,7.251.644,,1688788.0,5562856.0,,7251644.0
Tài sản cố định,Công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản cố định,Tài sản cố định,72.596,-,8.227.040,-,8.299.636,72596.0,,8227040.0,,8299636.0
Tài sản Có khác,Công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản Có khác,Tài sản Có khác,961.044,826.283,25.070.360,-,26.857.687,961044.0,826283.0,25070360.0,,26857687.0
Tổng tài sản,Công cụ tài chính phải sinh và các tài sản tài chính khác > Tổng tài sản,Tổng tài sản,5.482.676,111.213.048,666.409.407,566.882,783.672.013,5482676.0,111213048.0,666409407.0,566882.0,783672013.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,5.196,13.200.322,-,13.205.518,,5196.0,13200322.0,,13205518.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,488.189,54.459.098,43.551.167,289.975,98.788.429,488189.0,54459098.0,43551167.0,289975.0,98788429.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,8.674.524,35.479.826,448.360.639,51.513,492.566.502,8674524.0,35479826.0,448360639.0,51513.0,492566502.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,117.619,-,-,117.619,,117619.0,,,117619.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",205.490,7.994.948,46.930.623,-,55.131.061,205490.0,7994948.0,46930623.0,,55131061.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5.458.860,15.401.637,-,20.860.497,,5458860.0,15401637.0,,20860497.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,1.784.967,1.039.422,38.921.966,-,41.746.355,1784967.0,1039422.0,38921966.0,,41746355.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,-,-,54.933.977,-,54.933.977,,,54933977.0,,54933977.0
Tổng Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng Nợ phải trả và vốn chủ sở hữu,Tổng Nợ phải trả và vốn chủ sở hữu,11.153.170,104.554.969,661.300.331,341.488,777.349.958,11153170.0,104554969.0,661300331.0,341488.0,777349958.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(5.670.494),6.658.079,5.109.076,225.394,6.322.055,-5670494.0,6658079.0,5109076.0,225394.0,6322055.0
