row_label_raw,row_label_full,col_0,2015,2014Trình bày lại,numeric__2015,numeric__2014Trình bày lại
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,2.393.767,2.119.353,2393767.0,2119353.0
- Thu từ kinh doanh ngoại tệ giao ngay,- Thu từ kinh doanh ngoại tệ giao ngay,- Thu từ kinh doanh ngoại tệ giao ngay,1.614.272,1.615.259,1614272.0,1615259.0
- Thu từ kinh doanh vàng,- Thu từ kinh doanh vàng,- Thu từ kinh doanh vàng,186,768,186.0,768.0
- Thu từ công cụ tài chính phải sinh tiền tệ,- Thu từ công cụ tài chính phải sinh tiền tệ,- Thu từ công cụ tài chính phải sinh tiền tệ,779.309,503.326,779309.0,503326.0
Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,2.382.797,1.734.427,2382797.0,1734427.0
- Chi về kinh doanh ngoại tệ giao ngay,- Chi về kinh doanh ngoại tệ giao ngay,- Chi về kinh doanh ngoại tệ giao ngay,837.525,403.841,837525.0,403841.0
- Chi về kinh doanh vàng,- Chi về kinh doanh vàng,- Chi về kinh doanh vàng,596,148,596.0,148.0
- Chi về công cụ tài chính phải sinh tiền tệ,- Chi về công cụ tài chính phải sinh tiền tệ,- Chi về công cụ tài chính phải sinh tiền tệ,1.544.676,1.330.438,1544676.0,1330438.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,10.970,384.926,10970.0,384926.0
