row_label_raw,row_label_full,col_0,Notes,31/12/2018VND million,31/12/2017VND million,numeric__Notes,numeric__31/12/2018VND million,numeric__31/12/2017VND million
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.098.117,1.016.409,5.0,1098117.0,1016409.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),6,2.473.941,3.587.550,6.0,2473941.0,3587550.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,7,8.415.605,10.274.966,7.0,8415605.0,10274966.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,7.723.631,9.389.716,71.0,7723631.0,9389716.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,691.974,885.250,72.0,691974.0,885250.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,-,-,,,
Cho vay khách hàng,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng,Cho vay khách hàng,,95.260.970,78.919.360,,95260970.0,78919360.0
Cho vay khách hàng,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng,Cho vay khách hàng,8,96.138.735,79.864.220,8.0,96138735.0,79864220.0
Dự phòng rủi ro cho vay khách hàng,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,9,(877.765),(944.860),9.0,-877765.0,-944860.0
Hoạt động mua nợ,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Hoạt động mua nợ,Hoạt động mua nợ,10,418.273,955.774,10.0,418273.0,955774.0
Mua nợ,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Mua nợ,Mua nợ,10,419.171,956.288,10.0,419171.0,956288.0
