row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,99.442,283.669,54.680,30.048,85.194,553.033,99442.0,283669.0,54680.0,30048.0,85194.0,553033.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,2.465,20.736,1.442,5.311,3.535,33.489,2465.0,20736.0,1442.0,5311.0,3535.0,33489.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.592),-,-,(4.592),,,-4592.0,,,-4592.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,101.907,304.405,51.530,35.359,88.729,581.930,101907.0,304405.0,51530.0,35359.0,88729.0,581930.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,34.898,182.064,46.536,12.690,57.228,333.416,34898.0,182064.0,46536.0,12690.0,57228.0,333416.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,6.163,30.428,1.032,5.044,12.845,55.512,6163.0,30428.0,1032.0,5044.0,12845.0,55512.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.018),-,-,(2.018),,,-2018.0,,,-2018.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,41.061,212.492,45.550,17.734,70.073,386.910,41061.0,212492.0,45550.0,17734.0,70073.0,386910.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ: > Số dư đầu năm,Số dư đầu năm,64.544,101.605,8.144,17.358,27.966,219.617,64544.0,101605.0,8144.0,17358.0,27966.0,219617.0
Số dư cuối năm,Giá trị còn lại của TSCĐ: > Số dư cuối năm,Số dư cuối năm,60.846,91.913,5.980,17.625,18.656,195.020,60846.0,91913.0,5980.0,17625.0,18656.0,195020.0
