row_label_raw,row_label_full,col_0,Quá hạn,Không địnhlại lãi suất,Đến 1 tháng,Từ 1 - 3tháng,Từ 3 - 6tháng,Từ 6 - 12tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không địnhlại lãi suất,numeric__Đến 1 tháng,numeric__Từ 1 - 3tháng,numeric__Từ 3 - 6tháng,numeric__Từ 6 - 12tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,1.098.117,-,-,-,-,-,-,1.098.117,,1098117.0,,,,,,,1098117.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.473.941,-,-,-,-,-,2.473.941,,,2473941.0,,,,,,2473941.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,7.974.480,217.591,223.534,-,-,-,8.415.605,,,7974480.0,217591.0,223534.0,,,,8415605.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),1.556.471,-,23.978.552,42.898.821,11.384.038,15.456.321,1.259.587,24.116,96.557.906,1556471.0,,23978552.0,42898821.0,11384038.0,15456321.0,1259587.0,24116.0,96557906.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),100.000,-,1.008.769,5.364.142,4.788.147,6.265.810,5.343.145,5.848.790,28.718.803,100000.0,,1008769.0,5364142.0,4788147.0,6265810.0,5343145.0,5848790.0,28718803.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,185.274,-,-,-,-,-,-,185.274,,185274.0,,,,,,,185274.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,350.758,-,-,-,-,-,-,350.758,,350758.0,,,,,,,350758.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,2.455.993,-,-,-,-,-,-,2.455.993,,2455993.0,,,,,,,2455993.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.656.471,4.090.142,35.435.742,48.480.554,16.395.719,21.722.131,6.602.732,5.872.906,140.256.397,1656471.0,4090142.0,35435742.0,48480554.0,16395719.0,21722131.0,6602732.0,5872906.0,140256397.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi của và vay từ NHNN và TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và TCTD khác,Tiền gửi của và vay từ NHNN và TCTD khác,-,-,19.315.160,3.245.176,3.375.519,42,4.296.625,-,30.232.522,,,19315160.0,3245176.0,3375519.0,42.0,4296625.0,,30232522.0
Tiền gửi của khách hang,Nợ phải trả > Tiền gửi của khách hang,Tiền gửi của khách hang,-,-,34.217.735,17.155.981,21.775.853,8.170.557,3.540.373,2.130,84.862.629,,,34217735.0,17155981.0,21775853.0,8170557.0,3540373.0,2130.0,84862629.0
Các công cụ tài chính phải sinh và các côngnợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các côngnợ tài chính khác,Các công cụ tài chính phải sinh và các côngnợ tài chính khác,-,20.471,-,-,-,-,-,-,20.471,,20471.0,,,,,,,20471.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchiụ rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchiụ rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchiụ rủi ro",-,-,799,10.807,36,1.427,6.749,-,19.818,,,799.0,10807.0,36.0,1427.0,6749.0,,19818.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,1.149,-,-,119.614,255.512,1.900.000,7.602.399,273.756,10.152.430,1149.0,,,119614.0,255512.0,1900000.0,7602399.0,273756.0,10152430.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,3.210.701,-,-,-,-,-,-,3.210.701,,3210701.0,,,,,,,3210701.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,1.149,3.231.172,53.533.694,20.531.578,25.406.920,10.072.026,15.446.146,275.886,128.498.571,1149.0,3231172.0,53533694.0,20531578.0,25406920.0,10072026.0,15446146.0,275886.0,128498571.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,1.655.322,858.970,(18.097.952),27.948.976,(9.011.201),11.650.105,(8.843.414),5.597.020,11.757.826,1655322.0,858970.0,-18097952.0,27948976.0,-9011201.0,11650105.0,-8843414.0,5597020.0,11757826.0
Mức chênh nhạy cảm với lãi suất ngoại bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bằng,Mức chênh nhạy cảm với lãi suất ngoại bằng,-,-,(41.966),(78.794),60.634,36.963,2.803,-,(20.360),,,-41966.0,-78794.0,60634.0,36963.0,2803.0,,-20360.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,1.655.322,858.970,(18.139.918),27.870.182,(8.950.567),11.687.068,(8.840.611),5.597.020,11.737.466,1655322.0,858970.0,-18139918.0,27870182.0,-8950567.0,11687068.0,-8840611.0,5597020.0,11737466.0
