row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,-,277.425,7.137,284.562,,277425.0,7137.0,284562.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,3.880,37.220,108,41.208,3880.0,37220.0,108.0,41208.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,3.880,314.645,7.245,325.770,3880.0,314645.0,7245.0,325770.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,129.075,5.395,134.470,,129075.0,5395.0,134470.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,-,34.593,969,35.562,,34593.0,969.0,35562.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,163.668,6.364,170.032,,163668.0,6364.0,170032.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,-,148.350,1.742,150.092,,148350.0,1742.0,150092.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,3.880,150.977,881,155.738,3880.0,150977.0,881.0,155738.0
