row_label_raw,row_label_full,col_0,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Trên 3 tháng,numeric__Đến 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đá quí","Tài sản > Tiền mặt vàng bạc, đá quí","Tiền mặt vàng bạc, đá quí",-,-,1.098.117,-,-,-,-,1.098.117,,,1098117.0,,,,,1098117.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.473.941,-,-,-,-,2.473.941,,,2473941.0,,,,,2473941.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,7.904.480,247.591,263.534,-,-,8.415.605,,,7904480.0,247591.0,263534.0,,,8415605.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),123.519,1.432.952,2.875.246,5.904.401,19.018.567,40.782.386,26.420.835,96.557.906,123519.0,1432952.0,2875246.0,5904401.0,19018567.0,40782386.0,26420835.0,96557906.0
Chống khoán đầu tư (*),Tài sản > Chống khoán đầu tư (*),Chống khoán đầu tư (*),-,100.000,369.669,3.397.142,8.515.345,9.447.950,6.888.697,28.718.803,,100000.0,369669.0,3397142.0,8515345.0,9447950.0,6888697.0,28718803.0
"Gốp vốn, đầu tư dài hạn (*)","Tài sản > Gốp vốn, đầu tư dài hạn (*)","Gốp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,185.274,185.274,,,,,,,185274.0,185274.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,2,-,-,-,350.756,350.758,,,2.0,,,,350756.0,350758.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,-,1.051.403,-,1.404.590,-,-,2.455.993,,,1051403.0,,1404590.0,,,2455993.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,123.519,1.532.952,15.772.858,9.549.134,29.202.036,50.230.336,33.845.562,140.256.397,123519.0,1532952.0,15772858.0,9549134.0,29202036.0,50230336.0,33845562.0,140256397.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi của và vay từ NHNN và TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và TCTD khác,Tiền gửi của và vay từ NHNN và TCTD khác,-,-,19.216.768,3.245.175,3.413.322,4.357.215,42,30.232.522,,,19216768.0,3245175.0,3413322.0,4357215.0,42.0,30232522.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,10.993,4.030,31.000.746,7.949.272,18.416.312,27.479.006,2.270,84.862.629,10993.0,4030.0,31000746.0,7949272.0,18416312.0,27479006.0,2270.0,84862629.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,-,-,20.471,-,-,-,-,20.471,,,20471.0,,,,,20471.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,6.851,6.218,6.749,-,19.818,,,,6851.0,6218.0,6749.0,,19818.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,230,919,-,119.614,1.055.512,7.702.399,1.273.756,10.152.430,230.0,919.0,,119614.0,1055512.0,7702399.0,1273756.0,10152430.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,1.079.781,-,2.130.920,-,-,3.210.701,,,1079781.0,,2130920.0,,,3210701.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,11.223,4.949,51.317.766,11.320.912,25.022.284,39.545.369,1.276.068,128.498.571,11223.0,4949.0,51317766.0,11320912.0,25022284.0,39545369.0,1276068.0,128498571.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,112.296,1.528.003,(35.544.908),(1.771.778),4.179.752,10.684.967,32.569.494,11.757.826,112296.0,1528003.0,-35544908.0,-1771778.0,4179752.0,10684967.0,32569494.0,11757826.0
