row_label_raw,row_label_full,col_0,Giá trị mệnh giá > 31/12/2018 triệu đồng,Giá trị mệnh giá > 31/12/2017 triệu đồng,numeric__Giá trị mệnh giá > 31/12/2018 triệu đồng,numeric__Giá trị mệnh giá > 31/12/2017 triệu đồng
Bảo lãnh,Bảo lãnh,Bảo lãnh,111.336,131.145,111336.0,131145.0
Bất động sản,Bất động sản,Bất động sản,-,208.378,,208378.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",795.000,795.000,795000.0,795000.0
,,,906.336,1.134.523,906336.0,1134523.0
