row_label_raw,row_label_full,Tên công ty con,Hoạt động chính,Tỷ lệ vốn chủ sở hữu nấm giữ tại ngày > 31/12/2018,Tỷ lệ vốn chủ sở hữu nấm giữ tại ngày > 1/1/2018,numeric__Hoạt động chính,numeric__Tỷ lệ vốn chủ sở hữu nấm giữ tại ngày > 31/12/2018,numeric__Tỷ lệ vốn chủ sở hữu nấm giữ tại ngày > 1/1/2018
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ,"100,00%","100,00%",,1.0,1.0
Công ty Cổ phần Năng lượng Thương Tín (i),Công ty Cổ phần Năng lượng Thương Tín (i),Công ty Cổ phần Năng lượng Thương Tín (i),Sản xuất; kinh doanh; Dịch vụ,"52,00%","52,00%",,0.52,0.52
Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,Phát triển và kinh doanh bất động sản,"94,90%","94,90%",,0.9490000000000001,0.9490000000000001
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Phát triển và kinh doanh bất động sản,"99,52%","99,52%",,0.9952,0.9952
Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ,"50,00%","50,00%",,0.5,0.5
Công ty Cổ phần Mai Lan (Thuyết minh 6),Công ty Cổ phần Mai Lan (Thuyết minh 6),Công ty Cổ phần Mai Lan (Thuyết minh 6),Dịch vụ,"90,07%","89,60%",,0.9007,0.8959999999999999
Công ty TNHH Thương Tín - CJ Cầu Tre (ii),Công ty TNHH Thương Tín - CJ Cầu Tre (ii),Công ty TNHH Thương Tín - CJ Cầu Tre (ii),Phát triển và kinh doanh bất động sản,"63,43%","52,03%",,0.6343,0.5203
Công ty TNHH Đầu Tư Phát Triển Bất Đông Sản Hùng Anh Năm (trước đây là “Công ty Cổ phần Đầu Tư Phát triển Bất Đông Sản Hùng Anh Năm”) (Thuyết minh 5),Công ty TNHH Đầu Tư Phát Triển Bất Đông Sản Hùng Anh Năm (trước đây là “Công ty Cổ phần Đầu Tư Phát triển Bất Đông Sản Hùng Anh Năm”) (Thuyết minh 5),Công ty TNHH Đầu Tư Phát Triển Bất Đông Sản Hùng Anh Năm (trước đây là “Công ty Cổ phần Đầu Tư Phát triển Bất Đông Sản Hùng Anh Năm”) (Thuyết minh 5),Phát triển và kinh doanh bất động sản,"100,00%",-,,1.0,
Công ty CP Thương mại Nguyễn Kim Đà Nẵng (Thuyết minh 5),Công ty CP Thương mại Nguyễn Kim Đà Nẵng (Thuyết minh 5),Công ty CP Thương mại Nguyễn Kim Đà Nẵng (Thuyết minh 5),Phát triển và kinh doanh bất động sản,"95,17%",-,,0.9517,
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Dịch vụ,"100,00%",-,,1.0,
Công ty CP Đầu tư BDS TTC Land Long An,Công ty CP Đầu tư BDS TTC Land Long An,Công ty CP Đầu tư BDS TTC Land Long An,Phát triển và kinh doanh bất động sản,"0,10%",-,,0.001,
