row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,249.090.909,1.107.843.943,10.898.964.821,11.898.858.062,24.154.757.735,249090909.0,1107843943.0,10898964821.0,11898858062.0,24154757735.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,289.876.364,951.767.455,1.241.643.819,,,289876364.0,951767455.0,1241643819.0
Tăng do mua lại công ty con (Thuyết minh 5),Nguyên giá > Tăng do mua lại công ty con (Thuyết minh 5),Tăng do mua lại công ty con (Thuyết minh 5),-,-,879.192.294,37.909.091,917.101.385,,,879192294.0,37909091.0,917101385.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(999.263.732),-,(999.263.732),,,-999263732.0,,-999263732.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(92.388.847),(92.388.847),,,,-92388847.0,-92388847.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,249.090.909,1.107.843.943,11.068.769.747,12.796.145.761,25.221.850.360,249090909.0,1107843943.0,11068769747.0,12796145761.0,25221850360.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,103.787.880,1.035.130.607,2.204.249.185,6.997.121.242,10.340.288.914,103787880.0,1035130607.0,2204249185.0,6997121242.0,10340288914.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.515.152,16.779.996,1.363.204.782,1.289.238.652,2.710.738.582,41515152.0,16779996.0,1363204782.0,1289238652.0,2710738582.0
Tăng do mua lại công ty con (Thuyết minh 5),Giá trị hao mòn lũy kế > Tăng do mua lại công ty con (Thuyết minh 5),Tăng do mua lại công ty con (Thuyết minh 5),-,-,39.290.779,-,39.290.779,,,39290779.0,,39290779.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(999.263.732),-,(999.263.732),,,-999263732.0,,-999263732.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,-,(92.388.847),(92.388.847),,,,-92388847.0,-92388847.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,145.303.032,1.051.910.603,2.607.481.014,8.193.971.047,11.998.665.696,145303032.0,1051910603.0,2607481014.0,8193971047.0,11998665696.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,145.303.029,72.713.336,8.694.715.636,4.901.736.820,13.814.468.821,145303029.0,72713336.0,8694715636.0,4901736820.0,13814468821.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,103.787.877,55.933.340,8.461.288.733,4.602.174.714,13.223.184.664,103787877.0,55933340.0,8461288733.0,4602174714.0,13223184664.0
