row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,731.433.700.000,-,numeric__31,numeric__731.433.700.000,numeric__-
Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,31,55.211.800.000,119.000.000.000,31.0,55211800000.0,119000000000.0
Tiền vay ngắn hạn và dài hạn,Tiền vay ngắn hạn và dài hạn,Tiền vay ngắn hạn và dài hạn,,,,,,
nhận được,Tiền vay ngắn hạn và dài hạn > nhận được,nhận được,33,2.976.610.859.596,2.832.378.620.692,33.0,2976610859596.0,2832378620692.0
Tiền chi trả nợ gốc vay,Tiền vay ngắn hạn và dài hạn > Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,(2.684.973.147.268),(2.189.911.886.267),34.0,-2684973147268.0,-2189911886267.0
Tiền chi trả nợ thuê tài chính,Tiền vay ngắn hạn và dài hạn > Tiền chi trả nợ thuê tài chính,Tiền chi trả nợ thuê tài chính,35,(262.089.676),(262.089.672),35.0,-262089676.0,-262089672.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Tiền vay ngắn hạn và dài hạn > Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,1.078.021.122.652,761.204.644.753,40.0,1078021122652.0,761204644753.0
