row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.891.320.161,-,1.891.320.161,1891320161.0,,1891320161.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,270.553.110,(95.000.000),175.553.110,270553110.0,-95000000.0,175553110.0
Phải thu khác,Phải thu khác,Phải thu khác,50.700.000,-,50.700.000,50700000.0,,50700000.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,30.816.276.074,(30.816.276.074),-,30816276074.0,-30816276074.0,
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,293.004.026,-,293.004.026,293004026.0,,293004026.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,73.815.453,-,73.815.453,73815453.0,,73815453.0
Tài sản cố định hữu hình – giá trị còn lại,Tài sản cố định hữu hình – giá trị còn lại,Tài sản cố định hữu hình – giá trị còn lại,877.810.606,-,877.810.606,877810606.0,,877810606.0
Tài sản cố định vô hình (Thuyết minh 16),Tài sản cố định vô hình (Thuyết minh 16),Tài sản cố định vô hình (Thuyết minh 16),-,441.105.500.000,441.105.500.000,,441105500000.0,441105500000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,245.000.000,-,245.000.000,245000000.0,,245000000.0
Tài sản dài hạn dài khác,Tài sản dài hạn dài khác,Tài sản dài hạn dài khác,543.706.189,-,543.706.189,543706189.0,,543706189.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(34.770.000),-,(34.770.000),-34770000.0,,-34770000.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(12.650.239),-,(12.650.239),-12650239.0,,-12650239.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(4.452.185.560),-,(4.452.185.560),-4452185560.0,,-4452185560.0
Vay ngắn hạn (Thuyết minh 10(a)),Vay ngắn hạn (Thuyết minh 10(a)),Vay ngắn hạn (Thuyết minh 10(a)),(4.722.983.110),-,(4.722.983.110),-4722983110.0,,-4722983110.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(82.038.844.785),(82.038.844.785),,-82038844785.0,-82038844785.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,25.839.596.710,328.155.379.141,353.994.975.851,25839596710.0,328155379141.0,353994975851.0
"Tài sản thuần được mua lại (95,17%)","Tài sản thuần được mua lại (95,17%)","Tài sản thuần được mua lại (95,17%)",,,338.055.969.648,,,338055969648.0
Lãi từ giao dịch mua rè (Thuyết minh 34),Lãi từ giao dịch mua rè (Thuyết minh 34),Lãi từ giao dịch mua rè (Thuyết minh 34),,,(23.994.975.851),,,-23994975851.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,314.060.993.797,,,314060993797.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,1.891.320.161,,,1891320161.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,312.169.673.636,,,312169673636.0
