row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư và phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,2.170.691.340.000,441.956.044.101,(11.890.000),98.641.982.590,20.411.145.621,412.543.131.826,118.162.046.406,3.262.393.800.544,2170691340000.0,441956044101.0,-11890000.0,98641982590.0,20411145621.0,412543131826.0,118162046406.0,3262393800544.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,268.032.900.000,(108.514.860.000),-,-,-,(159.518.040.000),-,-,268032900000.0,-108514860000.0,,,,-159518040000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,228.692.154.345,(9.738.025.806),218.954.128.539,,,,,,228692154345.0,-9738025806.0,218954128539.0
Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,-,-,-,-,-,-,1.000.000.000,1.000.000.000,,,,,,,1000000000.0,1000000000.0
Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(133.276.500),(133.276.500),,,,,,,-133276500.0,-133276500.0
Biến động do việc mua thêm cổ phần của công ty con,Biến động do việc mua thêm cổ phần của công ty con,Biến động do việc mua thêm cổ phần của công ty con,-,-,-,-,-,(78.145.370.510),(31.149.434.078),(109.294.804.588),,,,,,-78145370510.0,-31149434078.0,-109294804588.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,-,-,118.000.000.000,118.000.000.000,,,,,,,118000000000.0,118000000000.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,11.434.651.851,4.479.146.901,(15.913.798.752),-,-,,,,11434651851.0,4479146901.0,-15913798752.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(7.246.525.645),-,(7.246.525.645),,,,,,-7246525645.0,,-7246525645.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,2.438.724.240.000,333.441.184.101,(11.890.000),110.076.634.441,24.890.292.522,380.411.551.264,196.141.310.022,3.483.673.322.350,2438724240000.0,333441184101.0,-11890000.0,110076634441.0,24890292522.0,380411551264.0,196141310022.0,3483673322350.0
