row_label_raw,row_label_full,Tạm ứng cho,Dự án,31/12/2018 VND,1/1/2018 VND,numeric__Dự án,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Công ty TNHH Sản xuất Kinh doanh,Công ty TNHH Sản xuất Kinh doanh,Công ty TNHH Sản xuất Kinh doanh,"Phát triển 4 khối nhà chung cư thuộc dự án chung cư D1-12 tại Quận 8, thành phố Hồ Chí Minh",253.286.743.390,156.376.521.830,,253286743390.0,156376521830.0
Hai Thành Công ty Dịch vụ,Hai Thành Công ty Dịch vụ,Hai Thành Công ty Dịch vụ,"Phát triển dự án Vĩnh Khánh tại Quận 4, thành phố Hồ Chí Minh",20.161.847.398,20.161.847.398,,20161847398.0,20161847398.0
Công ích Quận 4 Công ty Xây dựng Công trình 547,Công ích Quận 4 Công ty Xây dựng Công trình 547,Công ích Quận 4 Công ty Xây dựng Công trình 547,Phát triển khu đô thị Cienco 5 tại tỉnh Vĩnh Phúc,1.620.000.000,1.620.000.000,,1620000000.0,1620000000.0
,,,,275.068.590.788,178.158.369.228,,275068590788.0,178158369228.0
