row_label_raw,row_label_full,col_0,Lãi suất năm,Năm đáo hạn,31/12/2018 VND,1/1/2018 VND,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,Trái phiếu phát hành theo mênh giá cho:,,,,
Ngân hàng TMCP Quốc Tế Việt Nam (i),Trái phiếu phát hành theo mênh giá cho: > Ngân hàng TMCP Quốc Tế Việt Nam (i),Ngân hàng TMCP Quốc Tế Việt Nam (i),"12,0%",2020,233.185.357.139,396.121.428.571,0.12,2020.0,233185357139.0,396121428571.0
Tổng công ty Bảo hiểm Bưu điện (ii),Trái phiếu phát hành theo mênh giá cho: > Tổng công ty Bảo hiểm Bưu điện (ii),Tổng công ty Bảo hiểm Bưu điện (ii),"10,5%",2020,50.000.000.000,-,0.105,2020.0,50000000000.0,
Công Ty TNHH Một Thành Viên Đại Vạn Phú (ii),Trái phiếu phát hành theo mênh giá cho: > Công Ty TNHH Một Thành Viên Đại Vạn Phú (ii),Công Ty TNHH Một Thành Viên Đại Vạn Phú (ii),"10,5%",2020,20.000.000.000,-,0.105,2020.0,20000000000.0,
Quỹ Vietnam Debt Fund SPC (ii),Trái phiếu phát hành theo mênh giá cho: > Quỹ Vietnam Debt Fund SPC (ii),Quỹ Vietnam Debt Fund SPC (ii),"10,5%",2020,150.000.000.000,-,0.105,2020.0,150000000000.0,
Ngân hàng TMCP Việt Nam Thịnh Vượng (iii),Trái phiếu phát hành theo mênh giá cho: > Ngân hàng TMCP Việt Nam Thịnh Vượng (iii),Ngân hàng TMCP Việt Nam Thịnh Vượng (iii),11%,2021,100.000.000.000,-,0.11,2021.0,100000000000.0,
Công ty Cổ phần Chứng Khoán Kỹ Thương (iv),Trái phiếu phát hành theo mênh giá cho: > Công ty Cổ phần Chứng Khoán Kỹ Thương (iv),Công ty Cổ phần Chứng Khoán Kỹ Thương (iv),"10,5%",2021,470.095.890.411,-,0.105,2021.0,470095890411.0,
,,,,,1.023.281.247.550,396.121.428.571,,,1023281247550.0,396121428571.0
Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu phát hành theo mênh giá cho: > Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu thường đáo hạn trong vòng 12 tháng,,,(160.000.000.000),-,,,-160000000000.0,
Trái phiếu đáo hạn sau 12 tháng,Trái phiếu phát hành theo mênh giá cho: > Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,,,863.281.247.550,396.121.428.571,,,863281247550.0,396121428571.0
