row_label_raw,row_label_full,col_0,Phần mềmvi tínhVND,Website củaCông tyVND,Quyền sử dụng đất vàquyền thuê đấtVND,TổngVND,numeric__Phần mềmvi tínhVND,numeric__Website củaCông tyVND,numeric__Quyền sử dụng đất vàquyền thuê đấtVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.295.494.653,111.561.227,119.454.114.181,126.861.170.061,7295494653.0,111561227.0,119454114181.0,126861170061.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,105.000.000,87.000.000,90.148.500.000,90.340.500.000,105000000.0,87000000.0,90148500000.0,90340500000.0
Tăng do mua lại công ty con (Thuyết minh 5(b)),Nguyên giá > Tăng do mua lại công ty con (Thuyết minh 5(b)),Tăng do mua lại công ty con (Thuyết minh 5(b)),-,-,441.105.500.000,441.105.500.000,,,441105500000.0,441105500000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.400.494.653,198.561.227,650.708.114.181,658.307.170.061,7400494653.0,198561227.0,650708114181.0,658307170061.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.536.822.564,111.561.227,3.895.831.613,8.544.215.404,4536822564.0,111561227.0,3895831613.0,8544215404.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,550.126.970,19.333.336,8.158.535.691,8.727.995.997,550126970.0,19333336.0,8158535691.0,8727995997.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.086.949.534,130.894.563,12.054.367.304,17.272.211.401,5086949534.0,130894563.0,12054367304.0,17272211401.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.758.672.089,-,115.558.282.568,118.316.954.657,2758672089.0,,115558282568.0,118316954657.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.313.545.119,67.666.664,638.653.746.877,641.034.958.660,2313545119.0,67666664.0,638653746877.0,641034958660.0
