row_label_raw,row_label_full,col_0,1/1/2018VND,Số phải nộp trong năm VND,Cán trừ VND,Số được hoàn trong năm VND,31/12/2018VND,numeric__1/1/2018VND,numeric__Số phải nộp trong năm VND,numeric__Cán trừ VND,numeric__Số được hoàn trong năm VND,numeric__31/12/2018VND
Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,28.042.787.562,3.543.116.420,(8.577.041.636),-,23.008.862.346,28042787562.0,3543116420.0,-8577041636.0,,23008862346.0
Thuế khác,Thuế khác,Thuế khác,263.856.172,4.347.954.975,-,(263.856.172),4.347.954.975,263856172.0,4347954975.0,,-263856172.0,4347954975.0
,,,28.306.643.734,7.891.071.395,(8.577.041.636),(263.856.172),27.356.817.321,28306643734.0,7891071395.0,-8577041636.0,-263856172.0,27356817321.0
