row_label_raw,row_label_full,col_0,1/1/2018 > Giá trị ghi sổ/Số có khả năng trả nợ VND,1/1/2018 > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Phân loại sang trái phiếu dài hạn (Thuyết minh 25(b)(**) VND,31/12/2018 > Giá trị ghi sổ/Số có khả năng trả nợ VND,numeric__1/1/2018 > Giá trị ghi sổ/Số có khả năng trả nợ VND,numeric__1/1/2018 > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Phân loại sang trái phiếu dài hạn (Thuyết minh 25(b)(**) VND,numeric__31/12/2018 > Giá trị ghi sổ/Số có khả năng trả nợ VND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),612.747.996.217,1.771.966.616.842,(1.691.099.143.273),-,693.615.469.786,612747996217.0,1771966616842.0,-1691099143273.0,,693615469786.0
Trái phiếu phát hành ngắn hạn (**),Trái phiếu phát hành ngắn hạn (**),Trái phiếu phát hành ngắn hạn (**),300.000.000.000,300.000.000.000,-,(300.000.000.000),300.000.000.000,300000000000.0,300000000000.0,,-300000000000.0,300000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,473.046.781.292,173.741.375.247,(402.698.695.752),-,244.089.460.787,473046781292.0,173741375247.0,-402698695752.0,,244089460787.0
Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu thường đáo hạn trong vòng 12 tháng,-,160.000.000.000,,,160.000.000.000,,160000000000.0,,,160000000000.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,262.089.676,109.204.030,(262.089.672),-,109.204.034,262089676.0,109204030.0,-262089672.0,,109204034.0
,,,1.386.056.867.185,2.405.817.196.119,(2.094.059.928.697),(300.000.000.000),1.397.814.134.607,1386056867185.0,2405817196119.0,-2094059928697.0,-300000000000.0,1397814134607.0
