row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư và phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,2.438.724.240.000,333.441.184.101,(11.890.000),110.076.634.441,24.890.292.522,380.411.551.264,196.141.310.022,3.483.673.322.350,2438724240000.0,333441184101.0,-11890000.0,110076634441.0,24890292522.0,380411551264.0,196141310022.0,3483673322350.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,214.578.936.383,5.467.149.775,220.046.086.158,,,,,,214578936383.0,5467149775.0,220046086158.0
Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,731.613.700.000,(180.000.000),-,-,-,-,-,731.433.700.000,731613700000.0,-180000000.0,,,,,,731433700000.0
Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,Vốn góp bởi cổ đông không kiểm soát,-,-,-,-,-,-,55.211.800.000,55.211.800.000,,,,,,,55211800000.0,55211800000.0
Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(165.855.200),(165.855.200),,,,,,,-165855200.0,-165855200.0
Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),-,-,-,-,-,(16.460.965),(271.159.035),(287.620.000),,,,,,-16460965.0,-271159035.0,-287620000.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,-,-,15.939.006.203,15.939.006.203,,,,,,,15939006203.0,15939006203.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,20.023.396.743,-,(20.023.396.743),-,-,,,,20023396743.0,,-20023396743.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(22.012.493.690),-,(22.012.493.690),,,,,,-22012493690.0,,-22012493690.0
Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,221.888.810.000,-,-,-,-,(221.888.810.000),-,-,221888810000.0,,,,,-221888810000.0,,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,142.051.531,-,142.051.531,,,,,,142051531.0,,142051531.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,3.392.226.750.000,333.261.184.101,(11.890.000),130.100.031.184,24.890.292.522,331.191.377.780,272.322.251.765,4.483.979.997.352,3392226750000.0,333261184101.0,-11890000.0,130100031184.0,24890292522.0,331191377780.0,272322251765.0,4483979997352.0
