row_label_raw,row_label_full,Lâm Minh Châu,Trường ban,numeric__Trường ban
Nguyễn Thị Bích Loan,Nguyễn Thị Bích Loan,Nguyễn Thị Bích Loan,Thành viên,
Nguyễn Tâm Hòa,Nguyễn Tâm Hòa,Nguyễn Tâm Hòa,Thành viên,
