row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,142.085.771,-,142.085.771,142085771.0,,142085771.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,10.245.505.137,-,10.245.505.137,10245505137.0,,10245505137.0
Phải thu khác,Phải thu khác,Phải thu khác,2.652.146.500,-,2.652.146.500,2652146500.0,,2652146500.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,359.110.539.836,196.889.460.164,556.000.000.000,359110539836.0,196889460164.0,556000000000.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,4.201.160.486,-,4.201.160.486,4201160486.0,,4201160486.0
Tài sản cố định hữu hình – giá trị còn lại,Tài sản cố định hữu hình – giá trị còn lại,Tài sản cố định hữu hình – giá trị còn lại,-,-,-,,,
Tài sản dài hạn dài khác,Tài sản cố định hữu hình – giá trị còn lại > Tài sản dài hạn dài khác,Tài sản dài hạn dài khác,45.000.000,-,45.000.000,45000000.0,,45000000.0
Thuế phải nộp Nhà nước,Tài sản cố định hữu hình – giá trị còn lại > Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(4.856.400),-,(4.856.400),-4856400.0,,-4856400.0
Chi phí phải trả,Tài sản cố định hữu hình – giá trị còn lại > Chi phí phải trả,Chi phí phải trả,(3.477.456.251),(80.388.033.530),(83.865.489.781),-3477456251.0,-80388033530.0,-83865489781.0
Phải trả ngắn hạn khác,Tài sản cố định hữu hình – giá trị còn lại > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(26.277.242),-,(26.277.242),-26277242.0,,-26277242.0
Vay ngắn hạn (Thuyết minh 10),Tài sản cố định hữu hình – giá trị còn lại > Vay ngắn hạn (Thuyết minh 10),Vay ngắn hạn (Thuyết minh 10),(64.885.000.000),-,(64.885.000.000),-64885000000.0,,-64885000000.0
"Quỹ khen thưởng, phúc lợi","Tài sản cố định hữu hình – giá trị còn lại > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",1.034.078.468,-,1.034.078.468,1034078468.0,,1034078468.0
Thuế thu nhập hoãn lại phải trả,Tài sản cố định hữu hình – giá trị còn lại > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(23.300.285.327),(23.300.285.327),,-23300285327.0,-23300285327.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản cố định hữu hình – giá trị còn lại > Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,309.036.926.305,93.201.141.307,402.238.067.612,309036926305.0,93201141307.0,402238067612.0
Tài sản thuần được mua lại (100%),Tài sản cố định hữu hình – giá trị còn lại > Tài sản thuần được mua lại (100%),Tài sản thuần được mua lại (100%),,,402.238.067.612,,,402238067612.0
Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 20),Tài sản cố định hữu hình – giá trị còn lại > Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 20),Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 20),,,134.841.232.388,,,134841232388.0
Khoản thanh toán cho việc mua lại,Tài sản cố định hữu hình – giá trị còn lại > Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,537.079.300.000,,,537079300000.0
Khoản tiền thu được,Tài sản cố định hữu hình – giá trị còn lại > Khoản tiền thu được,Khoản tiền thu được,,,142.085.771,,,142085771.0
Khoản tiền thanh toán thuần,Tài sản cố định hữu hình – giá trị còn lại > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,536.937.214.229,,,536937214229.0
