row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Địa chỉ,Số lượng cổ phần,% sở hữu,% quyền biểu quyết,Giá trị ghi số VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cổ phần,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__Giá trị ghi số VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
Công ty Cổ phần Đầu tư Xây dựng Idico - Long An,Công ty liên kết > Công ty Cổ phần Đầu tư Xây dựng Idico - Long An,Công ty Cổ phần Đầu tư Xây dựng Idico - Long An,"544 Quốc lộ 1, Xã 4, Thị trấn Tân An, Tỉnh Long An",2.052.000,"24,00%","24,00%",19.681.761.033,(*),,2052000.0,0.24,0.24,19681761033.0,
Công ty Cổ phần May Tiến Phát,Công ty liên kết > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"171A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",3.065.500,"12,09%",(i),53.479.112.916,(*),,3065500.0,0.1209,,53479112916.0,
Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty liên kết > Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,"621 Phạm Văn Chí, Phường 7, Quận 6, Thành phố Hồ Chí Minh",2.985.820,"21,33%","21,33%",31.091.603.815,(*),,2985820.0,0.2133,0.2133,31091603815.0,
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết > Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,"62 Trấn Huy Liệu, Quận Phú Nhuận, Thành phố Hồ Chí Minh",1.180.000,"60,00%",(i),12.201.637.751,(*),,1180000.0,0.6,,12201637751.0,
Công ty Cổ phần Đầu tư SVG,Công ty liên kết > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",100.000,"99,55%",(i),1.000.000.000,(*),,100000.0,0.9954999999999999,,1000000000.0,
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty liên kết > Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,"Áp An Hội, Xã An Hòa, Huyện Tràng Bàng, Tỉnh Tây Ninh",19.527.468,"39,05%","39,05%",485.355.034.444,(*),,19527468.0,0.39049999999999996,0.39049999999999996,485355034444.0,
,,,,,,,602.809.149.959,,,,,,602809149959.0,
