row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Tổng giá vốn VND,Lỗ bán chứng khoán trong năm VND,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Tổng giá vốn VND,numeric__Lỗ bán chứng khoán trong năm VND
Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,,3.647.389.762,3.978.615.000,374.551.343,,3647389762.0,3978615000.0,374551343.0
Đáo hạn chứng quyền CFPT2208,Đáo hạn chứng quyền CFPT2208,Đáo hạn chứng quyền CFPT2208,18.300,-,-,27.277.089,18300.0,,,27277089.0
Đáo hạn chứng quyền CHPG2208,Đáo hạn chứng quyền CHPG2208,Đáo hạn chứng quyền CHPG2208,11.100,-,-,15.781.895,11100.0,,,15781895.0
Đáo hạn chứng quyền CMWG2007,Đáo hạn chứng quyền CMWG2007,Đáo hạn chứng quyền CMWG2007,22.700,-,-,267.121,22700.0,,,267121.0
Mua chứng quyền CHPG2304,Mua chứng quyền CHPG2304,Mua chứng quyền CHPG2304,699.900,1.141.471.198,1.243.861.000,102.389.802,699900.0,1141471198.0,1243861000.0,102389802.0
Mua chứng quyền CVPB2302,Mua chứng quyền CVPB2302,Mua chứng quyền CVPB2302,483.800,786.260.982,860.348.000,74.087.018,483800.0,786260982.0,860348000.0,74087018.0
Mua chứng quyền CSTB2301,Mua chứng quyền CSTB2301,Mua chứng quyền CSTB2301,630.800,890.177.916,948.744.000,58.566.084,630800.0,890177916.0,948744000.0,58566084.0
Mua chứng quyền CFPT2302,Mua chứng quyền CFPT2302,Mua chứng quyền CFPT2302,260.900,152.460.379,207.492.000,55.031.621,260900.0,152460379.0,207492000.0,55031621.0
Mua chứng quyền CTCB2301,Mua chứng quyền CTCB2301,Mua chứng quyền CTCB2301,165.300,243.984.516,269.008.000,25.023.484,165300.0,243984516.0,269008000.0,25023484.0
Lãi mua một số chứng quyền khác,Lãi mua một số chứng quyền khác,Lãi mua một số chứng quyền khác,477.100,433.034.771,449.162.000,16.127.229,477100.0,433034771.0,449162000.0,16127229.0
,,,,7.447.209.225.975,7.477.745.670.907,30.579.771.037,,7447209225975.0,7477745670907.0,30579771037.0
