row_label_raw,row_label_full,col_0,31/12/2023 > Giá gốc VND,31/12/2023 > Giá trị thị trường/ Giá trị hợp lý VND,31/12/2023 > Giá trị ghi số VND,31/12/2023 > Giá gốc VND_1,31/12/2022 > Giá trị thị trường/ Giá trị hợp lý VND,31/12/2022 > Giá trị ghi số VND,numeric__31/12/2023 > Giá gốc VND,numeric__31/12/2023 > Giá trị thị trường/ Giá trị hợp lý VND,numeric__31/12/2023 > Giá trị ghi số VND,numeric__31/12/2023 > Giá gốc VND_1,numeric__31/12/2022 > Giá trị thị trường/ Giá trị hợp lý VND,numeric__31/12/2022 > Giá trị ghi số VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,46.392.093.894,48.629.197.276,48.629.197.276,148.079.571,107.537.306,107.537.306,46392093894.0,48629197276.0,48629197276.0,148079571.0,107537306.0,107537306.0
ACB,ACB,ACB,24.156.821.999,26.290.000.000,26.290.000.000,1.146.329,1.095.000,1.095.000,24156821999.0,26290000000.0,26290000000.0,1146329.0,1095000.0,1095000.0
VRE,VRE,VRE,5.828.260.000,5.838.980.000,5.838.980.000,-,-,-,5828260000.0,5838980000.0,5838980000.0,,,
CTG,CTG,CTG,5.904.810.995,5.962.000.000,5.962.000.000,-,-,-,5904810995.0,5962000000.0,5962000000.0,,,
VIB,VIB,VIB,4.201.875.057,4.312.000.000,4.312.000.000,-,-,-,4201875057.0,4312000000.0,4312000000.0,,,
VNM,VNM,VNM,5.890.078.750,5.840.640.000,5.840.640.000,5.744.739,5.783.600,5.783.600,5890078750.0,5840640000.0,5840640000.0,5744739.0,5783600.0,5783600.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,410.247.093,385.577.276,385.577.276,141.188.503,100.658.706,100.658.706,410247093.0,385577276.0,385577276.0,141188503.0,100658706.0,100658706.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,510.146.000.000,510.146.000.000,510.146.000.000,-,-,-,510146000000.0,510146000000.0,510146000000.0,,,
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,479.827.830.991,479.827.830.991,479.827.830.991,2.611.393.334.800,2.611.393.334.800,2.611.393.334.800,479827830991.0,479827830991.0,479827830991.0,2611393334800.0,2611393334800.0,2611393334800.0
Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,76.536.759.982,84.324.000.000,84.324.000.000,-,-,-,76536759982.0,84324000000.0,84324000000.0,,,
,,,1.112.902.684.867,1.122.927.028.267,1.122.927.028.267,2.611.541.414.371,2.611.500.872.106,2.611.500.872.106,1112902684867.0,1122927028267.0,1122927028267.0,2611541414371.0,2611500872106.0,2611500872106.0
