row_label_raw,row_label_full,col_0,Mã số,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,numeric__Mã số,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Các bộ phận khác VND,numeric__Tổng cộng VND
Doanh thu thuần hoạt động kinh doanh chứng khoán,Doanh thu thuần hoạt động kinh doanh chứng khoán,Doanh thu thuần hoạt động kinh doanh chứng khoán,01,1.300.776.088.825(499.247.018.321),471.450.235.798(64.209.521.447),17.213.525.000(8.106.558.117),36.953.669.426(419.311.614),1.826.393.519.049(571.982.409.499),1.0,,,,,
Các chi phí trực tiếp,Các chi phí trực tiếp,Các chi phí trực tiếp,02,1.300.776.088.825(499.247.018.321),471.450.235.798(64.209.521.447),17.213.525.000(8.106.558.117),36.953.669.426(419.311.614),1.826.393.519.049(571.982.409.499),2.0,,,,,
Khẩu hao và các chi phí phân bổ,Khẩu hao và các chi phí phân bổ,Khẩu hao và các chi phí phân bổ,03,(383.357.337.511),(138.943.134.578),(5.073.072.276),(10.890.775.472),(538.264.319.837),3.0,-383357337511.0,-138943134578.0,-5073072276.0,-10890775472.0,-538264319837.0
Lợi nhuận thuần từ hoạt động kinh doanh trước thuế (04 = 01 + 02 + 03),Lợi nhuận thuần từ hoạt động kinh doanh trước thuế (04 = 01 + 02 + 03),Lợi nhuận thuần từ hoạt động kinh doanh trước thuế (04 = 01 + 02 + 03),04,418.171.732.993,268.297.579.773,4.033.894.607,25.643.582.340,716.146.789.713,4.0,418171732993.0,268297579773.0,4033894607.0,25643582340.0,716146789713.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,
,,,,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,,,,,,
Tải sản bộ phân,Tại ngày 31 tháng 12 năm 2023 > Tải sản bộ phân,Tải sản bộ phân,,9.226.668.063.108,5.152.567.932.026,327.320.000.000,22.601.741.173,14.729.157.736.307,,9226668063108.0,5152567932026.0,327320000000.0,22601741173.0,14729157736307.0
Tải sản phân bổ,Tại ngày 31 tháng 12 năm 2023 > Tải sản phân bổ,Tải sản phân bổ,,492.843.878.663,178.625.179.847,6.521.937.557,14.001.172.014,691.992.168.081,,492843878663.0,178625179847.0,6521937557.0,14001172014.0,691992168081.0
,,,,9.719.511.941.771,5.331.193.111.873,333.841.937.557,36.602.913.187,15.421.149.904.388,,9719511941771.0,5331193111873.0,333841937557.0,36602913187.0,15421149904388.0
Nợ phải trả bổ phân,Tại ngày 31 tháng 12 năm 2023 > Nợ phải trả bổ phân,Nợ phải trả bổ phân,,14.556.093.607,18.421.541.155,,,32.977.634.762,,14556093607.0,18421541155.0,,,32977634762.0
Nợ phải trả phân bổ,Tại ngày 31 tháng 12 năm 2023 > Nợ phải trả phân bổ,Nợ phải trả phân bổ,,7.302.968.684.734,2.646.870.847.352,96.642.177.781,207.469.596.745,10.253.951.306.612,,7302968684734.0,2646870847352.0,96642177781.0,207469596745.0,10253951306612.0
,,,,7.317.524.778.341,2.665.292.388.507,96.642.177.781,207.469.596.745,10.286.928.941.374,,7317524778341.0,2665292388507.0,96642177781.0,207469596745.0,10286928941374.0
