row_label_raw,row_label_full,A.,TÀI SẢN NGĂN HẠN(100 = 110 + 130),100,col_3,14.673.785.853.603,9.739.510.880.503,numeric__TÀI SẢN NGĂN HẠN(100 = 110 + 130),numeric__100,numeric__col_3,numeric__14.673.785.853.603,numeric__9.739.510.880.503
I.,I.,I.,Tài sản tài chính,110,,14.653.942.454.462,9.704.969.881.216,,110.0,,14653942454462.0,9704969881216.0
1.,1.,1.,Tiền và các khoản tương đương tiền,111,6,571.249.283.464,194.935.879.341,,111.0,6.0,571249283464.0,194935879341.0
1.1.,1.1.,1.1.,Tiền,111.1,,441.249.283.464,24.935.879.341,,1111.0,,441249283464.0,24935879341.0
1.2.,1.2.,1.2.,Các khoản tương đương tiền,111.2,,130.000.000.000,170.000.000.000,,1112.0,,130000000000.0,170000000000.0
2.,2.,2.,Các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),112,8(a),1.122.927.028.267,2.611.500.872.106,,112.0,,1122927028267.0,2611500872106.0
3.,3.,3.,Các khoản đầu tư nằm giữ đến ngày đáo hạn,113,8(b),2.322.623.532.176,1.623.292.939.025,,113.0,,2322623532176.0,1623292939025.0
4.,4.,4.,Các khoản cho vay,114,8(c),9.218.483.030.175,3.759.499.832.736,,114.0,,9218483030175.0,3759499832736.0
5.,5.,5.,Tài sản tài chính sẵn sàng để bán,115,8(d),1.261.568.020.233,1.389.980.915.859,,115.0,,1261568020233.0,1389980915859.0
6.,6.,6.,Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thể chấp,116,8(f),(82.554.833.496),(82.583.086.500),,116.0,,-82554833496.0,-82583086500.0
7.,7.,7.,Các khoản phải thu,117,9,231.545.521.630,160.510.533.957,,117.0,9.0,231545521630.0,160510533957.0
7.2,7.2,7.2,"Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",117.2,9,231.545.521.630,160.510.533.957,,1172.0,9.0,231545521630.0,160510533957.0
7.2.1,7.2.1,7.2.1,"Phải thu cổ tức, tiến lãi đến ngày nhận, các khoản đầu tư đáo hạn",117.3,9,18.938.175.105,64.711.196.146,,1173.0,9.0,18938175105.0,64711196146.0
7.2.2,7.2.2,7.2.2,"Dự thu cổ tức, tiền lãi chưa đến ngày nhận",117.4,9,212.607.346.525,95.799.337.811,,1174.0,9.0,212607346525.0,95799337811.0
8.,8.,8.,Trả trước cho người bán,118,10,7.244.255.581,38.016.988.078,,118.0,10.0,7244255581.0,38016988078.0
9.,9.,9.,Phải thu các dịch vụ công ty chứng khoán cung cấp,119,11,8.185.032.933,12.529.942.656,,119.0,11.0,8185032933.0,12529942656.0
12.,12.,12.,Các khoản phải thu khác,122,12,6.141.214.423,3.520.822.211,,122.0,12.0,6141214423.0,3520822211.0
13.,13.,13.,Dự phòng suy giảm giá trị các khoản phải thu,129,13,(13.469.630.924),(6.235.758.253),,129.0,13.0,-13469630924.0,-6235758253.0
II.,II.,II.,Tài sản ngắn hạn khác,130,,19.843.399.141,34.540.999.287,,130.0,,19843399141.0,34540999287.0
1.,1.,1.,Tạm ứng,131,,2.470.035.093,4.055.032.198,,131.0,,2470035093.0,4055032198.0
2.,2.,2.,"Vật tư văn phòng, công cụ, dụng cụ",132,,416.842.037,398.983.654,,132.0,,416842037.0,398983654.0
3.,3.,3.,Chi phí trả trước ngắn hạn,133,14,1.848.992.789,14.317.396.673,,133.0,14.0,1848992789.0,14317396673.0
4.,4.,4.,"Cảm cổ, thể chấp, ký quỹ, ký cược ngắn hạn",134,15,15.090.000.000,15.090.000.000,,134.0,15.0,15090000000.0,15090000000.0
5.,5.,5.,Thuế giá trị gia tăng được khấu trừ,135,,-,171.369.547,,135.0,,,171369547.0
6.,6.,6.,Thuế và các khoản phải thu Nhà nước,136,24,17.529.222,508.217.215,,136.0,24.0,17529222.0,508217215.0
