row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2023VND,Giá trị ghi sổ > 31/12/2022VND,numeric__Giá trị ghi sổ > 31/12/2023VND,numeric__Giá trị ghi sổ > 31/12/2022VND
Các công cụ tài chính có lãi suất cố định,Các công cụ tài chính có lãi suất cố định,Các công cụ tài chính có lãi suất cố định,Các công cụ tài chính có lãi suất cố định,Các công cụ tài chính có lãi suất cố định,,
Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính ngắn hạn > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,571.249.283.464,194.935.879.341,571249283464.0,194935879341.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),Tài sản tài chính ngắn hạn > Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),989.973.830.991,2.611.393.334.800,989973830991.0,2611393334800.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính ngắn hạn > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,2.322.623.532.176,1.623.292.939.025,2322623532176.0,1623292939025.0
Các khoản cho vay,Tài sản tài chính ngắn hạn > Các khoản cho vay,Các khoản cho vay,9.218.483.030.175,3.759.499.832.736,9218483030175.0,3759499832736.0
Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính ngắn hạn > Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính sẵn sàng để bán (AFS),1.143.592.675.080,1.172.766.982.585,1143592675080.0,1172766982585.0
Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,,,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính dài hạn > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,327.320.000.000,595.320.000.000,327320000000.0,595320000000.0
Tiền nộp Quỹ Hỗ trợ thanh toán,Tài sản tài chính dài hạn > Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
,,,14.593.242.351.886,9.977.208.968.487,14593242351886.0,9977208968487.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay ngắn hạn,Nợ phải trả tài chính > Vay ngắn hạn,Vay ngắn hạn,9.598.508.546.852,5.431.701.897.490,9598508546852.0,5431701897490.0
Trái phiếu phát hành dài hạn,Nợ phải trả tài chính > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,406.191.111.111,371.977.777.780,406191111111.0,371977777780.0
,,,10.004.699.657.963,5.803.679.675.270,10004699657963.0,5803679675270.0
