row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền VND,Lỗ bán chứng khoán trong năm VND,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền VND,numeric__Lỗ bán chứng khoán trong năm VND
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,,1.457.568.451.504,1.473.422.017.684,15.853.566.180,,1457568451504.0,1473422017684.0,15853566180.0
NVLH2123010,NVLH2123010,NVLH2123010,4.563.008,473.962.166.574,479.500.720.653,5.538.554.079,4563008.0,473962166574.0,479500720653.0,5538554079.0
VCPBOND2020-02,VCPBOND2020-02,VCPBOND2020-02,1.493.961,149.687.988.221,152.977.102.563,3.289.114.342,1493961.0,149687988221.0,152977102563.0,3289114342.0
TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,845,87.079.268.402,89.605.057.047,2.525.788.645,845.0,87079268402.0,89605057047.0,2525788645.0
FLCH2122001,FLCH2122001,FLCH2122001,1.500.000,150.000.000.000,151.241.194.232,1.241.194.232,1500000.0,150000000000.0,151241194232.0,1241194232.0
Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,3.137.276,596.839.028.307,600.097.943.189,3.258.914.882,3137276.0,596839028307.0,600097943189.0,3258914882.0
Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,,57.200.207.000,51.603.016.255,8.362.419.582,,57200207000.0,51603016255.0,8362419582.0
Đáo hạn chứng quyền CFPT2202,Đáo hạn chứng quyền CFPT2202,Đáo hạn chứng quyền CFPT2202,872.200,-,-,2.361.806.272,872200.0,,,2361806272.0
Đáo hạn chứng quyền CMWG2114,Đáo hạn chứng quyền CMWG2114,Đáo hạn chứng quyền CMWG2114,201.400,-,-,403.422.565,201400.0,,,403422565.0
Mua chứng quyền CFPT2202,Mua chứng quyền CFPT2202,Mua chứng quyền CFPT2202,7.696.700,18.979.535.000,17.343.999.381,1.635.535.619,7696700.0,18979535000.0,17343999381.0,1635535619.0
Mua chứng quyền CMWG2114,Mua chứng quyền CMWG2114,Mua chứng quyền CMWG2114,1.994.900,3.726.085.000,2.725.859.134,1.000.225.866,1994900.0,3726085000.0,2725859134.0,1000225866.0
Mua chứng quyền CHPG2204,Mua chứng quyền CHPG2204,Mua chứng quyền CHPG2204,3.357.800,6.727.668.000,6.247.650.781,480.017.219,3357800.0,6727668000.0,6247650781.0,480017219.0
Mua chứng quyền CPOW2203,Mua chứng quyền CPOW2203,Mua chứng quyền CPOW2203,6.710.600,4.531.509.000,4.057.079.021,474.429.979,6710600.0,4531509000.0,4057079021.0,474429979.0
Mua chứng quyền CVPB2111,Mua chứng quyền CVPB2111,Mua chứng quyền CVPB2111,1.802.300,3.197.813.000,2.956.291.214,241.521.786,1802300.0,3197813000.0,2956291214.0,241521786.0
Lỗ mua một số chứng quyền khác,Lỗ mua một số chứng quyền khác,Lỗ mua một số chứng quyền khác,28.645.000,20.037.597.000,18.272.136.724,1.765.460.276,28645000.0,20037597000.0,18272136724.0,1765460276.0
,,,,7.761.251.265.028,7.839.130.378.645,91.838.723.944,,7761251265028.0,7839130378645.0,91838723944.0
