row_label_raw,row_label_full,Danh mục các tài sản tài chính,Giá gốcVND,Giá trị thị trường/Giá trị hợp lýVND,Chênh lệch đánh giá lại cuối nămVND,Chênh lệch đánh giá lại đầu nămVND,Chênh lệch đánh giá lạiVND,Chênh lệch tăngVND,Chênh lệch giảmVND,numeric__Giá gốcVND,numeric__Giá trị thị trường/Giá trị hợp lýVND,numeric__Chênh lệch đánh giá lại cuối nămVND,numeric__Chênh lệch đánh giá lại đầu nămVND,numeric__Chênh lệch đánh giá lạiVND,numeric__Chênh lệch tăngVND,numeric__Chênh lệch giảmVND
ACB,ACB,ACB,1.146.329,1.095.000,(51.329),1.220.252.488,(1.220.303.817),(1.220.252.488),(51.329),1146329.0,1095000.0,-51329.0,1220252488.0,-1220303817.0,-1220252488.0,-51329.0
FPT,FPT,FPT,5.543.741,5.613.700,69.959,(88.948.987),89.018.946,69.959,88.948.987,5543741.0,5613700.0,69959.0,-88948987.0,89018946.0,69959.0,88948987.0
HDB,HDB,HDB,1.287.107,1.196.250,(90.857),-,(90.857),-,(90.857),1287107.0,1196250.0,-90857.0,,-90857.0,,-90857.0
HPG,HPG,HPG,2.193.881,1.656.000,(537.881),(924.198),386.317,-,386.317,2193881.0,1656000.0,-537881.0,-924198.0,386317.0,,386317.0
KDH,KDH,KDH,2.512.698,2.385.000,(127.698),828.309,(956.007),(828.309),(127.698),2512698.0,2385000.0,-127698.0,828309.0,-956007.0,-828309.0,-127698.0
MSN,MSN,MSN,1.113.840,930.000,(183.840),630.242,(814.082),(630.242),(183.840),1113840.0,930000.0,-183840.0,630242.0,-814082.0,-630242.0,-183840.0
MWG,MWG,MWG,4.305.192,3.217.500,(1.087.692),(263.792),(823.900),-,(823.900),4305192.0,3217500.0,-1087692.0,-263792.0,-823900.0,,-823900.0
PNJ,PNJ,PNJ,2.609.130,2.697.000,87.870,276.870,(189.000),(189.000),-,2609130.0,2697000.0,87870.0,276870.0,-189000.0,-189000.0,
VNM,VNM,VNM,5.744.739,5.783.600,38.861,(147.877.623),147.916.484,38.861,147.877.623,5744739.0,5783600.0,38861.0,-147877623.0,147916484.0,38861.0,147877623.0
VPB,VPB,VPB,1.503.634,895.000,(608.634),(1.069.613),460.979,-,460.979,1503634.0,895000.0,-608634.0,-1069613.0,460979.0,,460979.0
,,,27.960.291,25.469.050,(2.491.241),982.903.696,(985.394.937),(1.221.791.219),236.396.282,27960291.0,25469050.0,-2491241.0,982903696.0,-985394937.0,-1221791219.0,236396282.0
