row_label_raw,row_label_full,col_0,31/12/2023 > Giá gốcVND,31/12/2023 > Giá trị thị trường/Giá trị hợp lýVND,31/12/2023 > Giá trị ghi sổVND,31/12/2023 > Giá gốcVND_1,31/12/2022 > Giá trị thị trường/Giá trị hợp lýVND,31/12/2022 > Giá trị ghi sổVND,31/12/2022,numeric__31/12/2023 > Giá gốcVND,numeric__31/12/2023 > Giá trị thị trường/Giá trị hợp lýVND,numeric__31/12/2023 > Giá trị ghi sổVND,numeric__31/12/2023 > Giá gốcVND_1,numeric__31/12/2022 > Giá trị thị trường/Giá trị hợp lýVND,numeric__31/12/2022 > Giá trị ghi sổVND,numeric__31/12/2022
VNM,VNM,VNM,436.578.750,432.640.000,432.640.000,5.744.739,5.783.600,5.783.600,,436578750.0,432640000.0,432640000.0,5744739.0,5783600.0,5783600.0,
VHM,VHM,VHM,216.397.824,228.960.000,228.960.000,-,-,-,,216397824.0,228960000.0,228960000.0,,,,
STB,STB,STB,50.535.000,50.310.000,50.310.000,-,-,-,,50535000.0,50310000.0,50310000.0,,,,
MWG,MWG,MWG,16.637.778,17.120.000,17.120.000,4.305.192,3.217.500,3.217.500,,16637778.0,17120000.0,17120000.0,4305192.0,3217500.0,3217500.0,
VRE,VRE,VRE,13.760.000,13.980.000,13.980.000,-,-,-,,13760000.0,13980000.0,13980000.0,,,,
VPB,VPB,VPB,5.810.000,5.760.000,5.760.000,1.503.634,895.000,895.000,,5810000.0,5760000.0,5760000.0,1503634.0,895000.0,895000.0,
TCB,TCB,TCB,3.085.000,3.180.000,3.180.000,-,-,-,,3085000.0,3180000.0,3180000.0,,,,
FPT,FPT,FPT,2.747.445,2.883.000,2.883.000,5.543.741,5.613.700,5.613.700,,2747445.0,2883000.0,2883000.0,5543741.0,5613700.0,5613700.0,
HPG,HPG,HPG,2.720.000,2.795.000,2.795.000,2.193.881,1.656.000,1.656.000,,2720000.0,2795000.0,2795000.0,2193881.0,1656000.0,1656000.0,
PNJ,PNJ,PNJ,-,-,-,2.609.130,2.697.000,2.697.000,,,,,2609130.0,2697000.0,2697000.0,
KDH,KDH,KDH,-,-,-,2.512.698,2.385.000,2.385.000,,,,,2512698.0,2385000.0,2385000.0,
HDB,HDB,HDB,-,-,-,1.287.107,1.196.250,1.196.250,,,,,1287107.0,1196250.0,1196250.0,
ACB,ACB,ACB,-,-,-,1.146.329,1.095.000,1.095.000,,,,,1146329.0,1095000.0,1095000.0,
MSN,MSN,MSN,-,-,-,1.113.840,930.000,930.000,,,,,1113840.0,930000.0,930000.0,
,,,748.271.797,757.628.000,757.628.000,27.960.291,25.469.050,25.469.050,,748271797.0,757628000.0,757628000.0,27960291.0,25469050.0,25469050.0,
