row_label_raw,row_label_full,Danh mục các tài sản tài chính,Giá gốc,Giá trị thị trường/Giá trị hợp lý,Chênh lệch đánh giá lại cuối năm,Chênh lệch đánh giá lại đầu năm,Chênh lệch đánh giá lại,Chênh lệch tăng,Chênh lệch giảm,numeric__Giá gốc,numeric__Giá trị thị trường/Giá trị hợp lý,numeric__Chênh lệch đánh giá lại cuối năm,numeric__Chênh lệch đánh giá lại đầu năm,numeric__Chênh lệch đánh giá lại,numeric__Chênh lệch tăng,numeric__Chênh lệch giảm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
VNM,VNM,VNM,436.578.750,432.640.000,(3.938.750),38.861,(3.977.611),(38.861),(3.938.750),436578750.0,432640000.0,-3938750.0,38861.0,-3977611.0,-38861.0,-3938750.0
VHM,VHM,VHM,216.397.824,228.960.000,12.562.176,-,12.562.176,12.562.176,-,216397824.0,228960000.0,12562176.0,,12562176.0,12562176.0,
STB,STB,STB,50.535.000,50.310.000,(225.000),-,(225.000),-,(225.000),50535000.0,50310000.0,-225000.0,,-225000.0,,-225000.0
VRE,VRE,VRE,13.760.000,13.980.000,220.000,-,220.000,220.000,-,13760000.0,13980000.0,220000.0,,220000.0,220000.0,
MWG,MWG,MWG,16.637.778,17.120.000,482.222,(1.087.692),1.569.914,482.222,1.087.692,16637778.0,17120000.0,482222.0,-1087692.0,1569914.0,482222.0,1087692.0
VPB,VPB,VPB,5.810.000,5.760.000,(50.000),(608.634),558.634,-,558.634,5810000.0,5760000.0,-50000.0,-608634.0,558634.0,,558634.0
TCB,TCB,TCB,3.085.000,3.180.000,95.000,-,95.000,95.000,-,3085000.0,3180000.0,95000.0,,95000.0,95000.0,
HPG,HPG,HPG,2.720.000,2.795.000,75.000,(537.881),612.881,75.000,537.881,2720000.0,2795000.0,75000.0,-537881.0,612881.0,75000.0,537881.0
FPT,FPT,FPT,2.747.445,2.883.000,135.555,69.959,65.596,65.596,-,2747445.0,2883000.0,135555.0,69959.0,65596.0,65596.0,
,,,748.271.797,757.628.000,9.356.203,(2.125.387),11.481.590,13.461.133,(1.979.543),748271797.0,757628000.0,9356203.0,-2125387.0,11481590.0,13461133.0,-1979543.0
