row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán > Đơn vị,Tổng giá trị bán > VND,Tổng giá vốn > VND,Lỗ bán chứng khoán trong năm > VND,numeric__Số lượng bán > Đơn vị,numeric__Tổng giá trị bán > VND,numeric__Tổng giá vốn > VND,numeric__Lỗ bán chứng khoán trong năm > VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,329.650.540.000,341.587.534.193,11.936.994.193,,329650540000.0,341587534193.0,11936994193.0
TCB,TCB,TCB,635.000,18.633.355.000,20.286.450.000,1.653.095.000,635000.0,18633355000.0,20286450000.0,1653095000.0
VND,VND,VND,1.746.100,34.954.825.000,36.097.985.586,1.143.160.586,1746100.0,34954825000.0,36097985586.0,1143160586.0
SSI,SSI,SSI,1.172.000,35.539.640.000,36.645.087.840,1.105.447.840,1172000.0,35539640000.0,36645087840.0,1105447840.0
HSG,HSG,HSG,811.000,15.515.640.000,16.420.040.696,904.400.696,811000.0,15515640000.0,16420040696.0,904400696.0
VCG,VCG,VCG,662.200,14.909.105.000,15.769.145.000,860.040.000,662200.0,14909105000.0,15769145000.0,860040000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,6.786.200,210.097.975.000,216.368.825.071,6.270.850.071,6786200.0,210097975000.0,216368825071.0,6270850071.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,18.995.287,3.241.553.093.892,3.249.923.237.503,8.370.143.611,18995287.0,3241553093892.0,3249923237503.0,8370143611.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,,3.698.374.560.000,3.703.488.526.666,5.113.966.666,,3698374560000.0,3703488526666.0,5113966666.0
TD2338135,TD2338135,TD2338135,4.500.000,452.089.500.000,453.947.900.000,1.858.400.000,4500000.0,452089500000.0,453947900000.0,1858400000.0
TD2338134,TD2338134,TD2338134,1.000.000,107.973.000.000,109.526.333.333,1.553.333.333,1000000.0,107973000000.0,109526333333.0,1553333333.0
TD2333120,TD2333120,TD2333120,11.510.000,1.127.140.510.000,1.128.500.143.333,1.359.633.333,11510000.0,1127140510000.0,1128500143333.0,1359633333.0
TD2338131,TD2338131,TD2338131,3.500.000,429.355.000.000,429.484.500.000,129.500.000,3500000.0,429355000000.0,429484500000.0,129500000.0
TD1530287,TD1530287,TD1530287,1.700.000,235.980.400.000,236.053.500.000,73.100.000,1700000.0,235980400000.0,236053500000.0,73100000.0
Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,12.650.000,1.345.836.150.000,1.345.976.150.000,140.000.000,12650000.0,1345836150000.0,1345976150000.0,140000000.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,,173.983.642.321,178.767.757.545,4.784.115.224,,173983642321.0,178767757545.0,4784115224.0
BIDH2230002,BIDH2230002,BIDH2230002,1.000.000,95.412.000.000,98.840.000.000,3.428.000.000,1000000.0,95412000000.0,98840000000.0,3428000000.0
VCPBOND2020-02,VCPBOND2020-02,VCPBOND2020-02,700.000,70.000.000.000,71.136.847.495,1.136.847.495,700000.0,70000000000.0,71136847495.0,1136847495.0
BECAMEX-BINHPHUOC,BECAMEX-BINHPHUOC,BECAMEX-BINHPHUOC,71,7.155.125.061,7.329.767.644,174.642.583,71.0,7155125061.0,7329767644.0,174642583.0
TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,14,1.416.517.260,1.461.142.406,44.625.146,14.0,1416517260.0,1461142406.0,44625146.0
