row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,31/12/2023 VND,31/12/2022 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__31/12/2022 VND
C.,C.,C.,NỘ PHẢI TRẢ(300 = 310 + 340),300,,10.286.928.941.374,6.156.337.241.100,,300.0,,10286928941374.0,6156337241100.0
I.,I.,I.,Nợ phải trả ngắn hạn,310,,9.880.737.830.263,5.784.183.853.340,,310.0,,9880737830263.0,5784183853340.0
1.,1.,1.,Vay và nợ thuê tài chính ngắn hạn,311,21,9.598.508.546.852,5.431.701.897.490,,311.0,21.0,9598508546852.0,5431701897490.0
1.1,1.1,1.1,Vay ngắn hạn,312,,9.598.508.546.852,5.431.701.897.490,,312.0,,9598508546852.0,5431701897490.0
6.,6.,6.,Phải trả hoạt động giao dịch chứng khoán,318,22,14.556.093.607,12.125.853.104,,318.0,22.0,14556093607.0,12125853104.0
8.,8.,8.,Phải trả người bán ngắn hạn,320,23,16.250.539.155,30.976.908.715,,320.0,23.0,16250539155.0,30976908715.0
9.,9.,9.,Người mua trả tiền trước ngắn hạn,321,,2.171.002.000,2.341.002.000,,321.0,,2171002000.0,2341002000.0
10.,10.,10.,Thuế và các khoản phải nộp Nhà nước,322,24,76.712.883.674,94.048.324.716,,322.0,24.0,76712883674.0,94048324716.0
11.,11.,11.,Phải trả người lao động,323,,7.284.861.104,6.717.922.218,,323.0,,7284861104.0,6717922218.0
12.,12.,12.,Các khoản trích nộp phúc lợi nhân viên,324,,2.815.463.220,1.931.159.790,,324.0,,2815463220.0,1931159790.0
13.,13.,13.,Chi phí phải trả ngắn hạn,325,25,98.478.625.384,137.362.882.393,,325.0,25.0,98478625384.0,137362882393.0
15.,15.,15.,Doanh thu chưa thực hiện ngắn hạn,327,,879.612.906,402.265.880,,327.0,,879612906.0,402265880.0
17.,17.,17.,"Các khoản phải trả, phải nộp khác ngắn hạn",329,,4.828.606.935,23.961.919.090,,329.0,,4828606935.0,23961919090.0
19.,19.,19.,"Quỹ khen thưởng, phúc lợi",331,,58.251.595.426,42.613.717.944,,331.0,,58251595426.0,42613717944.0
II.,II.,II.,Nợ phải trả dài hạn,340,,406.191.111.111,372.153.387.760,,340.0,,406191111111.0,372153387760.0
4.,4.,4.,Trái phiếu phát hành dài hạn,346,26,406.191.111.111,371.977.777.780,,346.0,26.0,406191111111.0,371977777780.0
10.,10.,10.,"Nhận ký quỹ, ký cược dài hạn",352,,-,175.609.980,,352.0,,,175609980.0
D,D,D,VỐN CHỦ SỞ HỮU(400 = 410),400,,5.038.196.498.594,4.485.032.447.457,,400.0,,5038196498594.0,4485032447457.0
I.,I.,I.,Vốn chủ sở hữu,410,,5.038.196.498.594,4.485.032.447.457,,410.0,,5038196498594.0,4485032447457.0
1.,1.,1.,Vốn đầu tư của chủ sở hữu,411,27,4.375.946.418.400,3.805.177.668.400,,411.0,27.0,4375946418400.0,3805177668400.0
1.1.,1.1.,1.1.,Vốn góp của chủ sở hữu,411.1,,4.376.699.930.000,3.805.931.180.000,,4111.0,,4376699930000.0,3805931180000.0
a.,a.,a.,Cổ phiếu phổ thông có quyền biểu quyết,411.1a,,4.376.699.930.000,3.805.931.180.000,,,,4376699930000.0,3805931180000.0
1.5.,1.5.,1.5.,Cổ phiếu quỹ,411.5,,(753.511.600),(753.511.600),,4115.0,,-753511600.0,-753511600.0
4.,4.,4.,Quỹ dự trữ bổ sung vốn điều lệ,414,,-,69.328.039.314,,414.0,,,69328039314.0
5.,5.,5.,Quỹ dự phòng tài chính và rủi ro nghiệp vụ,415,,24.516.764.528,69.318.055.214,,415.0,,24516764528.0,69318055214.0
6.,6.,6.,Các quỹ khác thuộc vốn chủ sở hữu,416,,1.625.982.305,1.625.982.305,,416.0,,1625982305.0,1625982305.0
7.,7.,7.,Lợi nhuận chưa phân phối,417,,636.107.333.361,539.582.702.224,,417.0,,636107333361.0,539582702224.0
7.1.,7.1.,7.1.,Lợi nhuận sau thuế đã thực hiện,417.1,,618.419.678.969,541.617.289.913,,4171.0,,618419678969.0,541617289913.0
7.2,7.2,7.2,Lợi nhuận/(Lỗ) chưa thực hiện,417.2,,17.687.654.392,(2.034.587.689),,4172.0,,17687654392.0,-2034587689.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU (440 = 300 + 400),440,,15.325.125.439.968,10.641.369.688.557,,440.0,,15325125439968.0,10641369688557.0
