row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,230.543.287.308,5.673.570.635,8.799.818.883,245.016.676.826,230543287308.0,5673570635.0,8799818883.0,245016676826.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,64.580.388.121,-,323.972.000,64.904.360.121,64580388121.0,,323972000.0,64904360121.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(429.847.330),(586.092.000),(92.303.328),(1.108.242.658),-429847330.0,-586092000.0,-92303328.0,-1108242658.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,294.693.828.099,5.087.478.635,9.031.487.555,308.812.794.289,294693828099.0,5087478635.0,9031487555.0,308812794289.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,100.175.293.058,3.281.522.524,6.122.075.205,109.578.890.787,100175293058.0,3281522524.0,6122075205.0,109578890787.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,35.501.717.977,726.911.444,1.667.292.876,37.895.922.297,35501717977.0,726911444.0,1667292876.0,37895922297.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(429.847.330),(565.924.696),(78.914.430),(1.074.686.456),-429847330.0,-565924696.0,-78914430.0,-1074686456.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,135.247.163.705,3.442.509.272,7.710.453.651,146.400.126.628,135247163705.0,3442509272.0,7710453651.0,146400126628.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,130.367.994.250,2.392.048.111,2.677.743.678,135.437.786.039,130367994250.0,2392048111.0,2677743678.0,135437786039.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,159.446.664.394,1.644.969.363,1.321.033.904,162.412.667.661,159446664394.0,1644969363.0,1321033904.0,162412667661.0
