row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,31/12/2023 VND,31/12/2022 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__31/12/2022 VND
5.,5.,5.,Tài sản tài chính chưa lưu ký tại VSD của Nhà đầu tư,024.b,28(i),858.240.000,858.240.000,,,,858240000.0,858240000.0
7.,7.,7.,Tiền gửi của khách hàng,026,,4.232.508.528.453,3.079.468.867.120,,26.0,,4232508528453.0,3079468867120.0
7.1.,7.1.,7.1.,Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,027,28(j),4.030.799.136.248,2.383.039.436.763,,27.0,,4030799136248.0,2383039436763.0
7.1.a,7.1.a,7.1.a,Tiền gửi ký quỹ của Nhà đầu tư tại VSD,027.1,28(j),133.652.638.234,275.108.866.747,,271.0,,133652638234.0,275108866747.0
7.2,7.2,7.2,Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,028,28(j),192.365.811.559,420.477.813.704,,28.0,,192365811559.0,420477813704.0
7.4.,7.4.,7.4.,Tiền gửi của Tổ chức phát hành chứng khoán,030,28(k),9.343.580.646,842.749.906,,30.0,,9343580646.0,842749906.0
8.,8.,8.,Phải trả Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031,28(l),4.223.164.947.807,3.078.626.117.214,,31.0,,4223164947807.0,3078626117214.0
8.1.,8.1.,8.1.,Phải trả Nhà đầu tư trong nước về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031.1,,4.169.044.841.594,3.057.773.916.524,,311.0,,4169044841594.0,3057773916524.0
8.2.,8.2.,8.2.,Phải trả Nhà đầu tư nước ngoài về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031.2,,54.120.106.213,20.852.200.690,,312.0,,54120106213.0,20852200690.0
9.,9.,9.,Phải trả Tổ chức phát hành chứng khoán,032,28(m),9.218.062.364,30.676.364,,32.0,,9218062364.0,30676364.0
12.,12.,12.,"Phải trả cổ tức, góc và lãi trái phiếu",035,28(n),125.518.282,812.073.542,,35.0,,125518282.0,812073542.0
