row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bánDon vị,Tổng giá trị bánVND,Tổng giá vốnVND,Lãi bán chứng khoán trong nămVND,numeric__Số lượng bánDon vị,numeric__Tổng giá trị bánVND,numeric__Tổng giá vốnVND,numeric__Lãi bán chứng khoán trong nămVND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,254.371.100.050,241.389.221.259,12.981.878.791,,254371100050.0,241389221259.0,12981878791.0
FPT,FPT,FPT,794.900,83.256.670.000,78.016.313.170,5.240.356.830,794900.0,83256670000.0,78016313170.0,5240356830.0
MWG,MWG,MWG,163.800,21.895.510.000,19.625.643.623,2.269.866.377,163800.0,21895510000.0,19625643623.0,2269866377.0
POW,POW,POW,2.378.000,33.274.580.000,32.172.060.310,1.102.519.690,2378000.0,33274580000.0,32172060310.0,1102519690.0
VPB,VPB,VPB,787.000,28.953.110.000,27.925.405.992,1.027.704.008,787000.0,28953110000.0,27925405992.0,1027704008.0
ACB,ACB,ACB,531.000,14.858.935.000,14.175.850.864,683.084.136,531000.0,14858935000.0,14175850864.0,683084136.0
VRE,VRE,VRE,591.100,18.002.350.000,17.627.246.954,375.103.046,591100.0,18002350000.0,17627246954.0,375103046.0
HPG,HPG,HPG,192.400,9.082.355.000,8.775.360.905,306.994.095,192400.0,9082355000.0,8775360905.0,306994095.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,1.269.680,45.047.590.050,43.071.339.441,1.976.250.609,1269680.0,45047590050.0,43071339441.0,1976250609.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,965.077.067,108.534.315.148.752,108.511.436.297.635,22.878.851.117,965077067.0,108534315148752.0,108511436297635.0,22878851117.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,,1.594.147.020.000,1.593.897.650.000,249.370.000,,1594147020000.0,1593897650000.0,249370000.0
TD2131018,TD2131018,TD2131018,2.000.000,197.666.000.000,197.592.000.000,74.000.000,2000000.0,197666000000.0,197592000000.0,74000000.0
TD2030017,TD2030017,TD2030017,2.500.000,250.933.500.000,250.887.000.000,46.500.000,2500000.0,250933500000.0,250887000000.0,46500000.0
TD2131015,TD2131015,TD2131015,2.600.000,257.394.700.000,257.377.200.000,17.500.000,2600000.0,257394700000.0,257377200000.0,17500000.0
TD2030020,TD2030020,TD2030020,2.000.000,191.845.000.000,191.828.000.000,17.000.000,2000000.0,191845000000.0,191828000000.0,17000000.0
TD1934187,TD1934187,TD1934187,500.000,60.039.000.000,60.023.000.000,16.000.000,500000.0,60039000000.0,60023000000.0,16000000.0
Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,6.490.000,636.268.820.000,636.190.450.000,78.370.000,6490000.0,636268820000.0,636190450000.0,78370000.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,,2.259.120.909.330,2.203.513.748.347,55.607.160.983,,2259120909330.0,2203513748347.0,55607160983.0
TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,TRUNGNAMSOLAR_BOND2020_03,7.412,796.444.606.176,756.080.543.768,40.364.062.408,7412.0,796444606176.0,756080543768.0,40364062408.0
NVLH2123010,NVLH2123010,NVLH2123010,3.207.225,335.477.071.022,328.812.282.610,6.664.788.412,3207225.0,335477071022.0,328812282610.0,6664788412.0
TBLCH2122001,TBLCH2122001,TBLCH2122001,3.436.141,353.739.998.590,350.147.991.776,3.592.006.814,3436141.0,353739998590.0,350147991776.0,3592006814.0
HPXH2122005,HPXH2122005,HPXH2122005,513.845,53.895.241.034,51.652.423.912,2.242.817.122,513845.0,53895241034.0,51652423912.0,2242817122.0
GBOND49-THANHPHOAQUA600B,GBOND49-THANHPHOAQUA600B,GBOND49-THANHPHOAQUA600B,5.000,501.972.602.740,500.941.818.071,1.030.784.669,5000.0,501972602740.0,500941818071.0,1030784669.0
Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,1.888.792,217.591.389.768,215.878.688.210,1.712.701.558,1888792.0,217591389768.0,215878688210.0,1712701558.0
