row_label_raw,row_label_full,CUA KHACH HANG,CUA KHACH HANG_1,Mãsố,Năm 2023VND,Năm 2022VND,numeric__CUA KHACH HANG_1,numeric__Mãsố,numeric__Năm 2023VND,numeric__Năm 2022VND
I.,I.,I.,"Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
1.,I. > 1.,1.,Tiền thu bán chứng khoán môi giới cho khách hàng,01,204.883.829.405.670,224.964.387.550.753,,1.0,204883829405670.0,224964387550753.0
2.,I. > 2.,2.,Tiền chi mua chứng khoán môi giới cho khách hàng,02,(209.033.232.369.430),(222.373.311.637.508),,2.0,-209033232369430.0,-222373311637508.0
7.,I. > 7.,7.,Nhận/(chi trả) tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,07,5.308.417.160.322,(3.149.552.440.020),,7.0,5308417160322.0,-3149552440020.0
11.,I. > 11.,11.,Chi trả phí lưu ký chứng khoán của khách hàng,09,(14.475.365.969),(12.781.817.692),,9.0,-14475365969.0,-12781817692.0
14.,I. > 14.,14.,Tiền thu của Tổ chức phát hành chứng khoán,14,8.407.492.323.656,4.673.248.482.896,,14.0,8407492323656.0,4673248482896.0
15.,I. > 15.,15.,Tiền chi trả Tổ chức phát hành chứng khoán,15,(8.398.991.492.916),(4.699.492.344.357),,15.0,-8398991492916.0,-4699492344357.0
,,,Tăng tiền thuần trong năm,20,1.153.039.661.333,(597.502.205.928),,20.0,1153039661333.0,-597502205928.0
II.,I. > II.,II.,Tiền và các khoản tương đương tiền đầu năm của khách hàng,30,3.079.468.867.120,3.676.971.073.048,,30.0,3079468867120.0,3676971073048.0
II.,I. > II.,II.,Tiền gửi ngân hàng đầu năm:,31,3.079.468.867.120,3.676.971.073.048,,31.0,3079468867120.0,3676971073048.0
II.,I. > II.,II.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,32,2.658.148.303.510,3.624.388.650.402,,32.0,2658148303510.0,3624388650402.0
II.,I. > II.,II.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,33,420.477.813.704,25.495.811.279,,33.0,420477813704.0,25495811279.0
II.,I. > II.,II.,- Tiền gửi của Tổ chức phát hành,35,842.749.906,27.086.611.367,,35.0,842749906.0,27086611367.0
III.,I. > III.,III.,Tiền và các khoản tương đương tiền cuối năm của khách hàng (\( 40 = 20 + 30 \)),40,4.232.508.528.453,3.079.468.867.120,,40.0,4232508528453.0,3079468867120.0
III.,I. > III.,III.,Tiền gửi ngân hàng cuối năm,41,4.232.508.528.453,3.079.468.867.120,,41.0,4232508528453.0,3079468867120.0
III.,I. > III.,III.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,42,4.030.799.136.248,2.658.148.303.510,,42.0,4030799136248.0,2658148303510.0
III.,I. > III.,III.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,43,192.365.811.559,420.477.813.704,,43.0,192365811559.0,420477813704.0
III.,I. > III.,III.,- Tiền gửi của Tổ chức phát hành,45,9.343.580.646,842.749.906,,45.0,9343580646.0,842749906.0
