row_label_raw,row_label_full,col_0,1/1/2023Giá trị ghi sôVND,Biên động trong năm > TăngVND,Biên động trong năm > GiảmVND,31/12/2023Giá trị ghi sôVND,numeric__1/1/2023Giá trị ghi sôVND,numeric__Biên động trong năm > TăngVND,numeric__Biên động trong năm > GiảmVND,numeric__31/12/2023Giá trị ghi sôVND
Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),Vay ngắn hạn tổ chức tín dụng (*),,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,250.000.000.000,2.550.000.000.000,1.970.000.000.000,830.000.000.000,250000000000.0,2550000000000.0,1970000000000.0,830000000000.0
Ngân hàng TMCP Quốc tế Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,500.000.000.000,1.692.000.000.000,1.395.000.000.000,797.000.000.000,500000000000.0,1692000000000.0,1395000000000.0,797000000000.0
Ngân hàng TMCP Xăng dầu Petrolimex,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,350.000.000.000,2.170.000.000.000,1.920.000.000.000,600.000.000.000,350000000000.0,2170000000000.0,1920000000000.0,600000000000.0
Ngân hàng TMCP Kỹ thương Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,-,490.000.000.000,-,490.000.000.000,,490000000000.0,,490000000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,484.638.700.000,-,484.638.700.000,,484638700000.0,,484638700000.0
Ngân hàng TMCP Bảo Việt,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,350.000.000.000,1.000.000.000.000,900.000.000.000,450.000.000.000,350000000000.0,1000000000000.0,900000000000.0,450000000000.0
Ngân hàng TMCP Tiến Phong - Chi nhánh Hà Nội,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Tiến Phong - Chi nhánh Hà Nội,Ngân hàng TMCP Tiến Phong - Chi nhánh Hà Nội,200.000.000.000,600.000.000.000,400.000.000.000,400.000.000.000,200000000000.0,600000000000.0,400000000000.0,400000000000.0
Ngân hàng Công Nghiệp Hàn Quốc,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Công Nghiệp Hàn Quốc,Ngân hàng Công Nghiệp Hàn Quốc,-,500.000.000.000,150.000.000.000,350.000.000.000,,500000000000.0,150000000000.0,350000000000.0
Ngân hàng TNHH Indovina,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,-,1.150.000.000.000,850.000.000.000,300.000.000.000,,1150000000000.0,850000000000.0,300000000000.0
Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vương,Vay ngắn hạn tổ chức tín dụng (*) > Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vương,Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vương,-,393.000.000.000,100.000.000.000,293.000.000.000,,393000000000.0,100000000000.0,293000000000.0
Ngân hàng SinoPac,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng SinoPac,Ngân hàng SinoPac,-,241.900.000.000,-,241.900.000.000,,241900000000.0,,241900000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,-,883.389.116.600,653.389.116.600,230.000.000.000,,883389116600.0,653389116600.0,230000000000.0
Ngân hàng Xuất nhập khẩu Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Xuất nhập khẩu Việt Nam,Ngân hàng Xuất nhập khẩu Việt Nam,-,510.607.000.000,303.000.000.000,207.607.000.000,,510607000000.0,303000000000.0,207607000000.0
Ngân Hàng Ngoại Hối Hàn Quốc - Chi nhánh Hà Nội,Vay ngắn hạn tổ chức tín dụng (*) > Ngân Hàng Ngoại Hối Hàn Quốc - Chi nhánh Hà Nội,Ngân Hàng Ngoại Hối Hàn Quốc - Chi nhánh Hà Nội,-,200.000.000.000,-,200.000.000.000,,200000000000.0,,200000000000.0
Ngân hàng TMCP Ả Châu,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Ả Châu,Ngân hàng TMCP Ả Châu,-,194.000.000.000,-,194.000.000.000,,194000000000.0,,194000000000.0
Ngân hàng TMCP Hàng Hải Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,-,691.000.000.000,498.000.000.000,193.000.000.000,,691000000000.0,498000000000.0,193000000000.0
Ngân hàng TM TNHH MTV Đại Dương,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TM TNHH MTV Đại Dương,Ngân hàng TM TNHH MTV Đại Dương,-,200.000.000.000,50.000.000.000,150.000.000.000,,200000000000.0,50000000000.0,150000000000.0
Công ty Tài chính Cổ phần Tín Việt,Vay ngắn hạn tổ chức tín dụng (*) > Công ty Tài chính Cổ phần Tín Việt,Công ty Tài chính Cổ phần Tín Việt,-,650.000.000.000,500.000.000.000,150.000.000.000,,650000000000.0,500000000000.0,150000000000.0
Ngân hàng Daegu - Chi nhánh Thành phố Hồ Chí Minh,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Daegu - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Daegu - Chi nhánh Thành phố Hồ Chí Minh,-,240.000.000.000,120.000.000.000,120.000.000.000,,240000000000.0,120000000000.0,120000000000.0
Ngân hàng TMCP Công thương Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,-,440.000.000.000,320.000.000.000,120.000.000.000,,440000000000.0,320000000000.0,120000000000.0
Ngân hàng Công thương Trung Quốc,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Công thương Trung Quốc,Ngân hàng Công thương Trung Quốc,-,400.000.000.000,300.000.000.000,100.000.000.000,,400000000000.0,300000000000.0,100000000000.0
Ngân hàng TNHH Một thành viên Woori Việt Nam - CN Hà Nội,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TNHH Một thành viên Woori Việt Nam - CN Hà Nội,Ngân hàng TNHH Một thành viên Woori Việt Nam - CN Hà Nội,140.000.000.000,-,140.000.000.000,-,140000000000.0,,140000000000.0,
Ngân hàng TNHH Một thành viên Woori Dubai,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TNHH Một thành viên Woori Dubai,Ngân hàng TNHH Một thành viên Woori Dubai,158.900.000.000,-,158.900.000.000,-,158900000000.0,,158900000000.0,
Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Phạm Hùng,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Phạm Hùng,Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Phạm Hùng,-,459.000.000.000,459.000.000.000,-,,459000000000.0,459000000000.0,
Ngân hàng TMCP Quốc Dân Việt Nam,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng TMCP Quốc Dân Việt Nam,Ngân hàng TMCP Quốc Dân Việt Nam,-,290.000.000.000,290.000.000.000,-,,290000000000.0,290000000000.0,
Ngân hàng KB Kookmin - Chi nhánh Hồng Kông,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng KB Kookmin - Chi nhánh Hồng Kông,Ngân hàng KB Kookmin - Chi nhánh Hồng Kông,232.750.000.000,-,232.750.000.000,-,232750000000.0,,232750000000.0,
Ngân hàng SinoPac - Chi nhánh Hồng Kông,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng SinoPac - Chi nhánh Hồng Kông,Ngân hàng SinoPac - Chi nhánh Hồng Kông,-,234.800.000.000,234.800.000.000,-,,234800000000.0,234800000000.0,
Ngân hàng Thương mại Quốc tế Mega,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Thương mại Quốc tế Mega,Ngân hàng Thương mại Quốc tế Mega,232.470.000.000,-,232.470.000.000,-,232470000000.0,,232470000000.0,
Ngân hàng Union Bank of Taiwan,Vay ngắn hạn tổ chức tín dụng (*) > Ngân hàng Union Bank of Taiwan,Ngân hàng Union Bank of Taiwan,1.166.050.000.000,-,1.166.050.000.000,-,1166050000000.0,,1166050000000.0,
Vay ngắn hạn các đối tượng khác (**),Vay ngắn hạn tổ chức tín dụng (*) > Vay ngắn hạn các đối tượng khác (**),Vay ngắn hạn các đối tượng khác (**),1.851.531.897.490,35.569.345.686.283,34.723.514.736.921,2.697.362.846.852,1851531897490.0,35569345686283.0,34723514736921.0,2697362846852.0
,,,5.431.701.897.490,52.233.680.502.883,48.066.873.853.521,9.598.508.546.852,5431701897490.0,52233680502883.0,48066873853521.0,9598508546852.0
