row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Giá trị ghi sổVND,Dòng tiềntheo hợp đồngVND,Trong vòng1 nămVND,Trong vòng2-5 nămVND,numeric__Giá trị ghi sổVND,numeric__Dòng tiềntheo hợp đồngVND,numeric__Trong vòng1 nămVND,numeric__Trong vòng2-5 nămVND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),9.598.508.546.852,9.756.281.602.261,9.756.281.602.261,-,9598508546852.0,9756281602261.0,9756281602261.0,
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,14.556.093.607,14.556.093.607,14.556.093.607,-,14556093607.0,14556093607.0,14556093607.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,16.250.539.155,16.250.539.155,16.250.539.155,-,16250539155.0,16250539155.0,16250539155.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,98.478.625.384,98.478.625.384,98.478.625.384,-,98478625384.0,98478625384.0,98478625384.0,
Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),406.191.111.111,524.856.813.151,29.628.800.000,495.228.013.151,406191111111.0,524856813151.0,29628800000.0,495228013151.0
"Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",4.828.606.935,4.828.606.935,4.828.606.935,-,4828606935.0,4828606935.0,4828606935.0,
,,,10.138.813.523.044,10.415.252.280.493,9.920.024.267.342,495.228.013.151,10138813523044.0,10415252280493.0,9920024267342.0,495228013151.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Giá trị ghi sổVND,Dòng tiềntheo hợp đồngVND,Trong vòng1 nămVND,,,,,
Vay ngắn hạn (*),Tại ngày 31 tháng 12 năm 2022 > Vay ngắn hạn (*),Vay ngắn hạn (*),5.431.701.897.490,5.491.707.675.902,5.491.707.675.902,,5431701897490.0,5491707675902.0,5491707675902.0,
Phải trả hoạt động giao dịch chứng khoán,Tại ngày 31 tháng 12 năm 2022 > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,12.125.853.104,12.125.853.104,12.125.853.104,,12125853104.0,12125853104.0,12125853104.0,
Phải trả người bán ngắn hạn,Tại ngày 31 tháng 12 năm 2022 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,30.976.908.715,30.976.908.715,30.976.908.715,,30976908715.0,30976908715.0,30976908715.0,
Chi phí phải trả ngắn hạn,Tại ngày 31 tháng 12 năm 2022 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,137.362.882.393,137.362.882.393,137.362.882.393,,137362882393.0,137362882393.0,137362882393.0,
Trái phiếu phát hành dài hạn (*),Tại ngày 31 tháng 12 năm 2022 > Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),371.977.777.780,382.968.032.877,382.968.032.877,,371977777780.0,382968032877.0,382968032877.0,
"Các khoản phải trả, phải nộp khác ngắn hạn","Tại ngày 31 tháng 12 năm 2022 > Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",23.961.919.090,23.961.919.090,23.961.919.090,,23961919090.0,23961919090.0,23961919090.0,
,,,6.008.107.238.572,6.079.103.272.081,6.079.103.272.081,,6008107238572.0,6079103272081.0,6079103272081.0,
