row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Giá gốcVND,Giá trị thị trường/Giá trị hợp lý (*)VND,Dự phòng suy giảm giá trịVND,Giá trị ghi sởVND,numeric__Giá gốcVND,numeric__Giá trị thị trường/Giá trị hợp lý (*)VND,numeric__Dự phòng suy giảm giá trịVND,numeric__Giá trị ghi sởVND
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,117.975.345.153,(**),82.554.833.496,35.420.511.657,117975345153.0,,82554833496.0,35420511657.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,1.037.177.490.180,1.037.177.490.180,-,1.037.177.490.180,1037177490180.0,1037177490180.0,,1037177490180.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,106.415.184.900,106.415.184.900,-,106.415.184.900,106415184900.0,106415184900.0,,106415184900.0
,,,1.261.568.020.233,,82.554.833.496,1.179.013.186.737,1261568020233.0,,82554833496.0,1179013186737.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Giá gốcVND,Giá trị thị trường/Giá trị hợp lý (*)VND,Dự phòng suy giảm giá trịVND,Giá trị ghi sởVND,,,,
Cổ phiếu chưa niêm yết,Tại ngày 31 tháng 12 năm 2022 > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,117.975.345.153,(**),82.583.086.500,35.392.258.653,117975345153.0,,82583086500.0,35392258653.0
Trái phiếu chưa niêm yết,Tại ngày 31 tháng 12 năm 2022 > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,1.172.766.982.585,1.172.766.982.585,-,1.172.766.982.585,1172766982585.0,1172766982585.0,,1172766982585.0
Chứng chỉ quỹ chưa niêm yết,Tại ngày 31 tháng 12 năm 2022 > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,100.000.000.000,99.238.588.121,-,99.238.588.121,100000000000.0,99238588121.0,,99238588121.0
,,,1.390.742.327.738,,82.583.086.500,1.307.397.829.359,1390742327738.0,,82583086500.0,1307397829359.0
