row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo sổ kế toán,Giá trị thị trường,Chênh lệch đánh giá lại cuối năm,Chênh lệch đánh giá lại đầu năm,Chênh lệch tăng,Chênh lệch giảm,numeric__Giá trị mua theo sổ kế toán,numeric__Giá trị thị trường,numeric__Chênh lệch đánh giá lại cuối năm,numeric__Chênh lệch đánh giá lại đầu năm,numeric__Chênh lệch tăng,numeric__Chênh lệch giảm
Danh mục các loại tài sản tài chính,Danh mục các loại tài sản tài chính,Danh mục các loại tài sản tài chính,VND,VND,VND,VND,VND,VND,,,,,,
CVNM2316,Danh mục các loại tài sản tài chính > CVNM2316,CVNM2316,129.053.432,129.465.000,(411.568),-,(411.568),-,129053432.0,129465000.0,-411568.0,,-411568.0,
CVHM2319,Danh mục các loại tài sản tài chính > CVHM2319,CVHM2319,54.747.725,63.327.000,(8.579.275),-,(8.579.275),-,54747725.0,63327000.0,-8579275.0,,-8579275.0,
CSTB2335,Danh mục các loại tài sản tài chính > CSTB2335,CSTB2335,15.737.046,13.736.000,2.001.046,-,-,2.001.046,15737046.0,13736000.0,2001046.0,,,2001046.0
CVRE2321,Danh mục các loại tài sản tài chính > CVRE2321,CVRE2321,3.617.231,3.304.000,313.231,-,-,313.231,3617231.0,3304000.0,313231.0,,,313231.0
CMWG2317,Danh mục các loại tài sản tài chính > CMWG2317,CMWG2317,4.116.295,4.000.000,116.295,-,-,116.295,4116295.0,4000000.0,116295.0,,,116295.0
CVPB2320,Danh mục các loại tài sản tài chính > CVPB2320,CVPB2320,1.592.231,1.395.000,197.231,-,-,197.231,1592231.0,1395000.0,197231.0,,,197231.0
CTCB2311,Danh mục các loại tài sản tài chính > CTCB2311,CTCB2311,541.500,579.000,(37.500),-,(37.500),-,541500.0,579000.0,-37500.0,,-37500.0,
CHPG2340,Danh mục các loại tài sản tài chính > CHPG2340,CHPG2340,216.000,222.000,(6.000),-,(6.000),-,216000.0,222000.0,-6000.0,,-6000.0,
,,,209.621.460,216.028.000,(6.406.540),-,(9.034.343),2.627.803,209621460.0,216028000.0,-6406540.0,,-9034343.0,2627803.0
