row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,150.273.753.763,7.134.006.999,6.163.631.315,163.571.392.077,150273753763.0,7134006999.0,6163631315.0,163571392077.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,147.082.452.428,3.497.875.636,4.710.994.368,155.291.322.432,147082452428.0,3497875636.0,4710994368.0,155291322432.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(66.812.918.883),(4.958.312.000),(2.074.806.800),(73.846.037.683),-66812918883.0,-4958312000.0,-2074806800.0,-73846037683.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,230.543.287.308,5.673.570.635,8.799.818.883,245.016.676.826,230543287308.0,5673570635.0,8799818883.0,245016676826.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,73.271.741.429,5.082.652.903,4.459.876.595,82.814.270.927,73271741429.0,5082652903.0,4459876595.0,82814270927.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,32.639.251.546,3.031.303.656,1.664.340.435,37.334.895.637,32639251546.0,3031303656.0,1664340435.0,37334895637.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(5.735.699.917),(4.832.434.035),(2.141.825),(10.570.275.777),-5735699917.0,-4832434035.0,-2141825.0,-10570275777.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,100.175.293.058,3.281.522.524,6.122.075.205,109.578.890.787,100175293058.0,3281522524.0,6122075205.0,109578890787.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,77.002.012.334,2.051.354.096,1.703.754.720,80.757.121.150,77002012334.0,2051354096.0,1703754720.0,80757121150.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,130.367.994.250,2.392.048.111,2.677.743.678,135.437.786.039,130367994250.0,2392048111.0,2677743678.0,135437786039.0
