row_label_raw,row_label_full,col_0,Năm 2023 > Khối lượng giao dịch thực hiện Đơn vị,Năm 2023 > Giá trị giao dịch thực hiện VND,Năm 2022 > Khối lượng giao dịch thực hiện Đơn vị,Năm 2022 > Giá trị giao dịch thực hiện VND,numeric__Năm 2023 > Khối lượng giao dịch thực hiện Đơn vị,numeric__Năm 2023 > Giá trị giao dịch thực hiện VND,numeric__Năm 2022 > Khối lượng giao dịch thực hiện Đơn vị,numeric__Năm 2022 > Giá trị giao dịch thực hiện VND
Của Công ty,Của Công ty,Của Công ty,154.984.100,10.588.836.080.000,548.852.153,16.545.440.494.990,154984100.0,10588836080000.0,548852153.0,16545440494990.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,57.713.300,1.507.128.190.000,44.804.053,1.511.791.088.990,57713300.0,1507128190000.0,44804053.0,1511791088990.0
Trái phiếu,Trái phiếu,Trái phiếu,86.085.000,9.066.453.384.000,141.840.000,14.737.914.920.000,86085000.0,9066453384000.0,141840000.0,14737914920000.0
Chứng khoán khác,Chứng khoán khác,Chứng khoán khác,11.185.800,15.254.506.000,362.208.100,295.734.486.000,11185800.0,15254506000.0,362208100.0,295734486000.0
Của Nhà đầu tư,Của Nhà đầu tư,Của Nhà đầu tư,23.077.706.086,467.119.343.936.034,20.372.752.897,455.983.832.336.253,23077706086.0,467119343936034.0,20372752897.0,455983832336253.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,22.467.735.080,426.862.872.799.822,19.508.502.795,452.332.269.118.180,22467735080.0,426862872799822.0,19508502795.0,452332269118180.0
Trái phiếu,Trái phiếu,Trái phiếu,34.060.768,39.689.112.596.722,27.289.331,2.916.793.330.785,34060768.0,39689112596722.0,27289331.0,2916793330785.0
Chứng khoán khác,Chứng khoán khác,Chứng khoán khác,575.910.238,567.358.539.490,836.960.771,734.769.887.288,575910238.0,567358539490.0,836960771.0,734769887288.0
,,,,477.708.180.016.034,,472.529.272.831.243,,477708180016034.0,,472529272831243.0
