row_label_raw,row_label_full,col_0,col_1,Mãsố,Thuyếtminh,31/12/2023VND,31/12/2022VND,numeric__col_1,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2023VND,numeric__31/12/2022VND
B.,B.,B.,TÀI SẢN DÀI HẠN(200 = 210 + 220 + 250),200,,651.339.586.365,901.858.808.054,,200.0,,651339586365.0,901858808054.0
I.,I.,I.,Tài sản tài chính dài hạn,210,,327.320.000.000,595.320.000.000,,210.0,,327320000000.0,595320000000.0
2.,2.,2.,Các khoản đầu tư,212,,327.320.000.000,595.320.000.000,,212.0,,327320000000.0,595320000000.0
2.1,2.1,2.1,Các khoản đầu tư nằm giữ đến ngày đáo hạn,212.1,8(b),327.320.000.000,595.320.000.000,,2121.0,,327320000000.0,595320000000.0
II.,II.,II.,Tài sản cố định,220,,206.786.906.897,191.399.572.741,,220.0,,206786906897.0,191399572741.0
1.,1.,1.,Tài sản cố định hữu hình,221,16,162.412.667.661,135.437.786.039,,221.0,16.0,162412667661.0,135437786039.0
1.,1.,1.,- Nguyên giá,222,,308.812.794.289,245.016.676.826,,222.0,,308812794289.0,245016676826.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223a,,(146.400.126.628),(109.578.890.787),,,,-146400126628.0,-109578890787.0
3.,3.,3.,Tài sản cố định vô hình,227,17,44.374.239.236,55.961.786.702,,227.0,17.0,44374239236.0,55961786702.0
3.,3.,3.,- Nguyên giá,228,,105.202.602.066,97.212.152.066,,228.0,,105202602066.0,97212152066.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229a,,(60.828.362.830),(41.250.365.364),,,,-60828362830.0,-41250365364.0
V.,V.,V.,Tài sản dài hạn khác,250,,117.232.679.468,115.139.235.313,,250.0,,117232679468.0,115139235313.0
1.,1.,1.,"Cảm cố, thế chấp, ký quỹ, ký cược dài hạn",251,15,1.370.526.750,2.251.002.180,,251.0,15.0,1370526750.0,2251002180.0
2.,2.,2.,Chi phí trả trước dài hạn,252,18,76.659.574.139,82.608.405.477,,252.0,18.0,76659574139.0,82608405477.0
3.,3.,3.,Tài sản thuế thu nhập hoãn lại,253,,9.051.997.999,149.646.922,,253.0,,9051997999.0,149646922.0
4.,4.,4.,Tiền nộp Quỹ Hö trợ thanh toán,254,19,20.000.000.000,20.000.000.000,,254.0,19.0,20000000000.0,20000000000.0
5.,5.,5.,Tài sản dài hạn khác,255,20,10.150.580.580,10.130.180.734,,255.0,20.0,10150580580.0,10130180734.0
,,,TỔNG TÀI SẢN(270 = 100 + 200),270,,15.325.125.439.968,10.641.369.688.557,,270.0,,15325125439968.0,10641369688557.0
