row_label_raw,row_label_full,Danh mụccác tài sàntài chính,Giá gốcVND,Giá trị thị trường/Giá trị hợp lýVND,Chênh lệchđánh giá lạicuối nămVND,Chênh lệchđánh giá lạiđầu nămVND,Chênh lệchđánh giá lạiVND,Chênh lệchtăngVND,Chênh lệchgiảmVND,numeric__Giá gốcVND,numeric__Giá trị thị trường/Giá trị hợp lýVND,numeric__Chênh lệchđánh giá lạicuối nămVND,numeric__Chênh lệchđánh giá lạiđầu nămVND,numeric__Chênh lệchđánh giá lạiVND,numeric__Chênh lệchtăngVND,numeric__Chênh lệchgiảmVND
Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,,,,,,
Cổ phiếuniêm yết,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > Cổ phiếuniêm yết,Cổ phiếuniêm yết,46.392.093.894,48.629.197.276,2.237.103.382,(40.542.265),2.277.645.647,2.327.899.501,(50.253.854),46392093894.0,48629197276.0,2237103382.0,-40542265.0,2277645647.0,2327899501.0,-50253854.0
ACB,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > ACB,ACB,24.156.821.999,26.290.000.000,2.133.178.001,(51.329),2.133.229.330,2.133.178.001,51.329,24156821999.0,26290000000.0,2133178001.0,-51329.0,2133229330.0,2133178001.0,51329.0
VRE,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > VRE,VRE,5.828.260.000,5.838.980.000,10.720.000,-,10.720.000,10.720.000,-,5828260000.0,5838980000.0,10720000.0,,10720000.0,10720000.0,
CTG,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > CTG,CTG,5.904.810.995,5.962.000.000,57.189.005,-,57.189.005,57.189.005,-,5904810995.0,5962000000.0,57189005.0,,57189005.0,57189005.0,
VIB,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > VIB,VIB,4.201.875.057,4.312.000.000,110.124.943,-,110.124.943,110.124.943,-,4201875057.0,4312000000.0,110124943.0,,110124943.0,110124943.0,
VNM,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > VNM,VNM,5.890.078.750,5.840.640.000,(49.438.750),38.861,(49.477.611),(38.861),(49.438.750),5890078750.0,5840640000.0,-49438750.0,38861.0,-49477611.0,-38861.0,-49438750.0
Cổ phiếuniêm yếtkhác,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > Cổ phiếuniêm yếtkhác,Cổ phiếuniêm yếtkhác,410.247.093,385.577.276,(24.669.817),(40.529.797),15.859.980,16.726.413,(866.433),410247093.0,385577276.0,-24669817.0,-40529797.0,15859980.0,16726413.0,-866433.0
Chứng chỉquỹ chưa niêm yết,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > Chứng chỉquỹ chưa niêm yết,Chứng chỉquỹ chưa niêm yết,76.536.759.982,84.324.000.000,7.787.240.018,(761.411.879),8.548.651.897,7.787.240.018,761.411.879,76536759982.0,84324000000.0,7787240018.0,-761411879.0,8548651897.0,7787240018.0,761411879.0
Chứng chỉtiền gửi,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > Chứng chỉtiền gửi,Chứng chỉtiền gửi,479.827.830.991,479.827.830.991,-,-,-,-,-,479827830991.0,479827830991.0,,,,,
Trái phiếuniêm yết,Tài sàn tài chính ghi nhận thông qua lãi/lỗ (FVTPL) > Trái phiếuniêm yết,Trái phiếuniêm yết,510.146.000.000,510.146.000.000,-,-,-,-,-,510146000000.0,510146000000.0,,,,,
,,,1.112.902.684.867,1.122.927.028.267,10.024.343.400,(801.954.144),10.826.297.544,10.115.139.519,711.158.025,1112902684867.0,1122927028267.0,10024343400.0,-801954144.0,10826297544.0,10115139519.0,711158025.0
