row_label_raw,row_label_full,col_0,Số dư dâu năm > CHỈ TIÊU,Số dư dâu năm > 1/1/2022 > VND,Số dư dâu năm > 1/1/2023 > VND,Số tăng(giảm) > Năm 2022 > Tăng VND,Số tăng(giảm) > Năm 2023 > (Giảm) VND,Số tăng(giảm) > Năm 2023 > Tăng VND,Số tăng(giảm) > Năm 2023 > (Giảm) VND_1,Số dư cuối năm > 31/12/2022 > VND,Số dư cuối năm > 31/12/2023 > VND,numeric__Số dư dâu năm > CHỈ TIÊU,numeric__Số dư dâu năm > 1/1/2022 > VND,numeric__Số dư dâu năm > 1/1/2023 > VND,numeric__Số tăng(giảm) > Năm 2022 > Tăng VND,numeric__Số tăng(giảm) > Năm 2023 > (Giảm) VND,numeric__Số tăng(giảm) > Năm 2023 > Tăng VND,numeric__Số tăng(giảm) > Năm 2023 > (Giảm) VND_1,numeric__Số dư cuối năm > 31/12/2022 > VND,numeric__Số dư cuối năm > 31/12/2023 > VND
I.,I.,I.,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,,,,,,,,,
1.,I. > 1.,1.,Vốn đầu tư của chủ sở hữu,2.675.521.133.200,3.805.177.668.400,1.129.656.535.200,-,570.768.750.000,-,3.805.177.668.400,4.375.946.418.400,,2675521133200.0,3805177668400.0,1129656535200.0,,570768750000.0,,3805177668400.0,4375946418400.0
1.1.,I. > 1.1.,1.1.,Cổ phiếu phổ thống,2.676.183.240.000,3.805.931.180.000,1.129.747.940.000,-,570.768.750.000,-,3.805.931.180.000,4.376.699.930.000,,2676183240000.0,3805931180000.0,1129747940000.0,,570768750000.0,,3805931180000.0,4376699930000.0
1.2.,I. > 1.2.,1.2.,Cổ phiếu quỹ,(662.106.800),(753.511.600),(91.404.800),-,-,-,(753.511.600),(753.511.600),,-662106800.0,-753511600.0,-91404800.0,,,,-753511600.0,-753511600.0
3.,I. > 3.,3.,Quỹ dự trữ bổ sung vốn điều lệ,69.328.039.314,69.328.039.314,-,-,-,69.328.039.314,69.328.039.314,-,,69328039314.0,69328039314.0,,,,69328039314.0,69328039314.0,
4.,I. > 4.,4.,Quỹ dự phòng tài chính và rủ ro nghiệp vụ,69.318.055.214,69.318.055.214,-,-,-,44.801.290.686,69.318.055.214,24.516.764.528,,69318055214.0,69318055214.0,,,,44801290686.0,69318055214.0,24516764528.0
7.,I. > 7.,7.,Các quỹ khác thuộc vốn chủ sở hữu,1.625.982.305,1.625.982.305,-,-,-,-,1.625.982.305,1.625.982.305,,1625982305.0,1625982305.0,,,,,1625982305.0,1625982305.0
8.,I. > 8.,8.,Lợi nhuận chưa phân phối,595.752.698.075,539.582.702.224,521.595.918.656,577.765.914.507,588.351.523.498,491.826.892.361,539.582.702.224,636.107.333.361,,595752698075.0,539582702224.0,521595918656.0,577765914507.0,588351523498.0,491826892361.0,539582702224.0,636107333361.0
8.1.,I. > 8.1.,8.1.,Lợi nhuận đã thực hiện,590.397.020.344,541.617.289.913,521.595.918.656,570.375.649.087,564.294.148.250,487.491.759.194,541.617.289.913,618.419.678.969,,590397020344.0,541617289913.0,521595918656.0,570375649087.0,564294148250.0,487491759194.0,541617289913.0,618419678969.0
8.2.,I. > 8.2.,8.2.,Lợi nhuận/(Lỗ) chưa thực hiện,5.355.677.731,(2.034.587.689),-,7.390.265.420,24.057.375.248,4.335.133.167,(2.034.587.689),17.687.654.392,,5355677731.0,-2034587689.0,,7390265420.0,24057375248.0,4335133167.0,-2034587689.0,17687654392.0
,,,TỔNG CỘNG,3.411.545.908.108,4.485.032.447.457,1.651.252.453.856,577.765.914.507,1.159.120.273.498,605.956.222.361,4.485.032.447.457,5.038.196.498.594,,3411545908108.0,4485032447457.0,1651252453856.0,577765914507.0,1159120273498.0,605956222361.0,4485032447457.0,5038196498594.0
