row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Tổng giá vốn VND,Lãi bán chứng khoán trong năm VND,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Tổng giá vốn VND,numeric__Lãi bán chứng khoán trong năm VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,389.433.357.600,373.222.200.034,16.211.157.566,,389433357600.0,373222200034.0,16211157566.0
ACB,ACB,ACB,2.903.700,68.104.465.000,63.934.310.916,4.170.154.084,2903700.0,68104465000.0,63934310916.0,4170154084.0
SSI,SSI,SSI,1.128.100,35.366.010.000,32.938.052.160,2.427.957.840,1128100.0,35366010000.0,32938052160.0,2427957840.0
VND,VND,VND,1.781.200,36.682.565.000,35.016.039.414,1.666.525.586,1781200.0,36682565000.0,35016039414.0,1666525586.0
VIB,VIB,VIB,1.381.300,29.170.555.000,28.048.834.943,1.121.720.057,1381300.0,29170555000.0,28048834943.0,1121720057.0
DXG,DXG,DXG,1.565.200,28.741.545.000,27.888.135.000,853.410.000,1565200.0,28741545000.0,27888135000.0,853410000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,6.990.712,191.368.217.600,185.396.827.601,5.971.389.999,6990712.0,191368217600.0,185396827601.0,5971389999.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,572.177.881,75.898.880.495.456,75.810.844.395.859,88.036.099.597,572177881.0,75898880495456.0,75810844395859.0,88036099597.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,,579.241.060.000,574.685.053.334,4.556.006.666,,579241060000.0,574685053334.0,4556006666.0
TD2338135,TD2338135,TD2338135,500.000,52.285.000.000,50.463.100.000,1.821.900.000,500000.0,52285000000.0,50463100000.0,1821900000.0
TD2338134,TD2338134,TD2338134,500.000,56.277.000.000,54.763.166.667,1.513.833.333,500000.0,56277000000.0,54763166667.0,1513833333.0
TD2333120,TD2333120,TD2333120,1.500.000,146.504.500.000,145.302.666.667,1.201.833.333,1500000.0,146504500000.0,145302666667.0,1201833333.0
TD2131014,TD2131014,TD2131014,1.000.000,102.399.000.000,102.393.000.000,6.000.000,1000000.0,102399000000.0,102393000000.0,6000000.0
Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,2.180.000,221.775.560.000,221.763.120.000,12.440.000,2180000.0,221775560000.0,221763120000.0,12440000.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,,1.751.131.921.606,1.731.937.864.062,19.194.057.544,,1751131921606.0,1731937864062.0,19194057544.0
BIDH2230002,BIDH2230002,BIDH2230002,4.000.000,391.844.000.000,386.957.452.055,4.886.547.945,4000000.0,391844000000.0,386957452055.0,4886547945.0
TENCH2225003,TENCH2225003,TENCH2225003,300,32.263.972.603,29.922.739.699,2.341.232.904,300.0,32263972603.0,29922739699.0,2341232904.0
TENCH2226004,TENCH2226004,TENCH2226004,300,32.501.095.890,30.000.000.000,2.501.095.890,300.0,32501095890.0,30000000000.0,2501095890.0
TENCH2227005,TENCH2227005,TENCH2227005,200,21.805.479.452,20.000.000.000,1.805.479.452,200.0,21805479452.0,20000000000.0,1805479452.0
TENCH2228006,TENCH2228006,TENCH2228006,200,21.874.520.548,20.000.000.000,1.874.520.548,200.0,21874520548.0,20000000000.0,1874520548.0
Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,Trái phiếu chưa niêm yết khác,1.117.072,1.250.842.853.113,1.245.057.672.308,5.785.180.805,1117072.0,1250842853113.0,1245057672308.0,5785180805.0
