row_label_raw,row_label_full,col_0,Phần mềm máy vi tính,Phần mềm máy vi tính_1,numeric__Phần mềm máy vi tính,numeric__Phần mềm máy vi tính_1
,,,Năm 2023 VND,Năm 2022 VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,97.212.152.066,64.740.748.537,97212152066.0,64740748537.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.185.500.000,67.310.150.161,8185500000.0,67310150161.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(195.050.000),(34.838.746.632),-195050000.0,-34838746632.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,105.202.602.066,97.212.152.066,105202602066.0,97212152066.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,41.250.365.364,23.765.546.970,41250365364.0,23765546970.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.773.047.466,17.506.624.604,19773047466.0,17506624604.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(195.050.000),(21.806.210),-195050000.0,-21806210.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,60.828.362.830,41.250.365.364,60828362830.0,41250365364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,55.961.786.702,40.975.201.567,55961786702.0,40975201567.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,44.374.239.236,55.961.786.702,44374239236.0,55961786702.0
