row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Cổ phiếu quỹVND,Quỹ dự trữ bổ sung vốn điều lệVND,Quỹ dự phòng tài chính và rủi ro nghiệp vụVND,Quỹ khác thuộc vốn chủ sở hữuVND,Lợi nhuận chưa phân phốiVND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ dự trữ bổ sung vốn điều lệVND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụVND,numeric__Quỹ khác thuộc vốn chủ sở hữuVND,numeric__Lợi nhuận chưa phân phốiVND,numeric__Tổng cộngVND
Số dư tại ngày1/1/2022,Số dư tại ngày1/1/2022,Số dư tại ngày1/1/2022,2.676.183.240.000,(662.106.800),69.328.039.314,69.318.055.214,1.625.982.305,595.752.698.075,3.411.545.908.108,2676183240000.0,-662106800.0,69328039314.0,69318055214.0,1625982305.0,595752698075.0,3411545908108.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,514.205.653.236,514.205.653.236,,,,,,514205653236.0,514205653236.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,594.580.930.000,-,-,-,-,-,594.580.930.000,594580930000.0,,,,,,594580930000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(91.404.800),-,-,-,-,(91.404.800),,-91404800.0,,,,,-91404800.0
Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,535.167.010.000,-,-,-,-,(535.167.010.000),-,535167010000.0,,,,,-535167010000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(35.208.639.087),(35.208.639.087),,,,,,-35208639087.0,-35208639087.0
Số dư tại ngày31/12/2022,Số dư tại ngày31/12/2022,Số dư tại ngày31/12/2022,3.805.931.180.000,(753.511.600),69.328.039.314,69.318.055.214,1.625.982.305,539.582.702.224,4.485.032.447.457,3805931180000.0,-753511600.0,69328039314.0,69318055214.0,1625982305.0,539582702224.0,4485032447457.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,584.016.390.331,584.016.390.331,,,,,,584016390331.0,584016390331.0
Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,570.768.750.000,-,(69.328.039.314),(44.801.290.686),-,(456.639.420.000),-,570768750000.0,,-69328039314.0,-44801290686.0,,-456639420000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(30.852.339.194),(30.852.339.194),,,,,,-30852339194.0,-30852339194.0
Số dư tại ngày31/12/2023,Số dư tại ngày31/12/2023,Số dư tại ngày31/12/2023,4.376.699.930.000,(753.511.600),-,24.516.764.528,1.625.982.305,636.107.333.361,5.038.196.498.594,4376699930000.0,-753511600.0,,24516764528.0,1625982305.0,636107333361.0,5038196498594.0
