row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán > Đơn vị,Tổng giá trị bán > VND,Tổng giá vốn > VND,Lõ bán chứng khoán trong năm > VND,numeric__Số lượng bán > Đơn vị,numeric__Tổng giá trị bán > VND,numeric__Tổng giá vốn > VND,numeric__Lõ bán chứng khoán trong năm > VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,529.637.447.024,596.401.530.506,66.764.083.482,,529637447024.0,596401530506.0,66764083482.0
HPG,HPG,HPG,3.124.300,105.582.480.000,117.085.829.954,11.503.349.954,3124300.0,105582480000.0,117085829954.0,11503349954.0
STB,STB,STB,1.981.300,47.405.740.000,57.541.340.663,10.135.600.663,1981300.0,47405740000.0,57541340663.0,10135600663.0
TCB,TCB,TCB,924.078,36.959.118.900,45.650.230.021,8.691.111.121,924078.0,36959118900.0,45650230021.0,8691111121.0
VHM,VHM,VHM,459.200,29.948.320.000,35.066.788.749,5.118.468.749,459200.0,29948320000.0,35066788749.0,5118468749.0
VIC,VIC,VIC,270.400,22.362.690.000,25.467.482.164,3.104.792.164,270400.0,22362690000.0,25467482164.0,3104792164.0
VRE,VRE,VRE,1.170.700,32.482.955.000,35.409.967.897,2.927.012.897,1170700.0,32482955000.0,35409967897.0,2927012897.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,9.029.908,254.896.143.124,280.179.891.058,25.283.747.934,9029908.0,254896143124.0,280179891058.0,25283747934.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,100,100.945.479.500,100.957.644.200,12.164.700,100.0,100945479500.0,100957644200.0,12164700.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,,5.615.899.680.000,5.616.746.170.000,846.490.000,,5615899680000.0,5616746170000.0,846490000.0
TD2141039,TD2141039,TD2141039,6.600.000,654.890.400.000,655.003.100.000,112.700.000,6600000.0,654890400000.0,655003100000.0,112700000.0
TD2136026,TD2136026,TD2136026,5.060.000,526.314.760.000,526.397.940.000,83.180.000,5060000.0,526314760000.0,526397940000.0,83180000.0
TD2030018,TD2030018,TD2030018,6.000.000,596.983.000.000,597.045.000.000,62.000.000,6000000.0,596983000000.0,597045000000.0,62000000.0
TD2030017,TD2030017,TD2030017,2.500.000,247.476.000.000,247.534.500.000,58.500.000,2500000.0,247476000000.0,247534500000.0,58500000.0
TD2035027,TD2035027,TD2035027,1.000.000,93.209.000.000,93.266.500.000,57.500.000,1000000.0,93209000000.0,93266500000.0,57500000.0
TD1929176,TD1929176,TD1929176,1.000.000,113.418.000.000,113.474.000.000,56.000.000,1000000.0,113418000000.0,113474000000.0,56000000.0
TD2035026,TD2035026,TD2035026,4.000.000,419.926.000.000,419.977.000.000,51.000.000,4000000.0,419926000000.0,419977000000.0,51000000.0
Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,Trái phiếu niêm yết khác,28.270.000,2.963.682.520.000,2.964.048.130.000,365.610.000,28270000.0,2963682520000.0,2964048130000.0,365610000.0
