row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,Năm 2023 VND,Năm 2022 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2023 VND,numeric__Năm 2022 VND
I.,I.,I.,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,,,,,
1.1.,I. > 1.1.,1.1.,Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),01,,140.863.659.943,226.222.334.152,,1.0,,140863659943.0,226222334152.0
a.,I. > a.,a.,Lãi từ bán các tài sản tài chính FVTPL,01.1,29,130.371.121.731,165.318.601.292,,11.0,29.0,130371121731.0,165318601292.0
b.,I. > b.,b.,Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,01.2,31,10.115.139.519,(3.244.779.493),,12.0,31.0,10115139519.0,-3244779493.0
c.,I. > c.,c.,"Cổ tức, tiến lãi phát sinh từ tài sản tài chính FVTPL",01.3,32(a),374.770.890,71.483.739.144,,13.0,,374770890.0,71483739144.0
d.,I. > d.,d.,Chênh lệch giảm về đánh giá lại chứng quyền,01.4,31,2.627.803,(7.335.226.791),,14.0,31.0,2627803.0,-7335226791.0
1.2.,I. > 1.2.,1.2.,Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn,02,32(b),180.795.295.137,121.946.607.069,,2.0,,180795295137.0,121946607069.0
1.3.,I. > 1.3.,1.3.,Lãi từ các khoản cho vay và phải thu,03,32(c),664.739.708.137,767.597.558.403,,3.0,,664739708137.0,767597558403.0
1.4.,I. > 1.4.,1.4.,Lãi từ các tài sản tài chính sẵn sàng để bán,04,32(d),149.791.280.718,1.590.600.000,,4.0,,149791280718.0,1590600000.0
1.6.,I. > 1.6.,1.6.,Doanh thu nghiệp vụ môi giới chứng khoán,06,33,614.616.030.508,716.773.377.582,,6.0,33.0,614616030508.0,716773377582.0
1.8.,I. > 1.8.,1.8.,Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,08,,-,2.759.000.000,,8.0,,,2759000000.0
1.9.,I. > 1.9.,1.9.,Doanh thu nghiệp vụ lưu ký chứng khoán,09,,21.420.350.180,21.678.432.231,,9.0,,21420350180.0,21678432231.0
1.10.,I. > 1.10.,1.10.,Doanh thu hoạt động tư vấn tài chính,10,34,17.213.525.000,36.015.349.781,,10.0,34.0,17213525000.0,36015349781.0
1.11.,I. > 1.11.,1.11.,Thu nhập hoạt động khác,11,35,26.518.904.285,63.780.295.338,,11.0,35.0,26518904285.0,63780295338.0
,,,Cộng doanh thu hoạt động,20,,1.815.958.753.908,1.958.363.554.556,,20.0,,1815958753908.0,1958363554556.0
II.,II.,II.,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,,,,,
2.1.,II. > 2.1.,2.1.,Lỗ các tài sản tài chính ghi nhận thông qua lãi/lỗ,21,,31.082.486.054,92.565.258.901,,21.0,,31082486054.0,92565258901.0
a.,II. > a.,a.,Lỗ từ bán các tài sản tài chính FVTPL,21.1,30,30.579.771.037,91.838.723.944,,211.0,30.0,30579771037.0,91838723944.0
b.,II. > b.,b.,Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,21.2,31,(711.158.025),(1.343.171.137),,212.0,31.0,-711158025.0,-1343171137.0
c.,II. > c.,c.,Chi phí giao dịch mua các tài sản tài chính FVTPL,21.3,,1.204.838.699,2.068.709.466,,213.0,,1204838699.0,2068709466.0
d.,II. > d.,d.,Chênh lệch tăng về đánh giá lại chứng quyền,21.4,,9.034.343,996.628,,214.0,,9034343.0,996628.0
2.4.,II. > 2.4.,2.4.,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay",24,,7.494.275.464,-,,24.0,,7494275464.0,
2.6,II. > 2.6,2.6,Chi phí hoạt động tư doanh,26,36,25.632.759.929,44.184.672.018,,26.0,36.0,25632759929.0,44184672018.0
2.7.,II. > 2.7.,2.7.,Chi phí nghiệp vụ môi giới chứng khoán,27,37,479.006.017.680,539.113.668.921,,27.0,37.0,479006017680.0,539113668921.0
2.8,II. > 2.8,2.8,Chi phí nghiệp vụ bảo lãnh đại lý phát hành chứng khoán,28,,18.571.699,836.614.367,,28.0,,18571699.0,836614367.0
2.9.,II. > 2.9.,2.9.,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,29,,-,5.261.770.534,,29.0,,,5261770534.0
