row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.369.091.412,35.223.645.223,13.580.397.261,165.173.133.896,116369091412.0,35223645223.0,13580397261.0,165173133896.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,110.819.149,8.307.007.727,1.651.375.417,10.069.202.293,110819149.0,8307007727.0,1651375417.0,10069202293.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.300.389.091),,(1.300.389.091),,-1300389091.0,,-1300389091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,42.230.263.859,15.231.772.678,173.941.947.098,116479910561.0,42230263859.0,15231772678.0,173941947098.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.160.977.477,11.872.280.574,6.744.195.500,26.777.453.551,8160977477.0,11872280574.0,6744195500.0,26777453551.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.255.101.802,4.520.230.163,3.153.874.883,11.929.206.848,4255101802.0,4520230163.0,3153874883.0,11929206848.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(697.808.494),-,(697.808.494),,-697808494.0,,-697808494.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.416.079.279,15.694.702.243,9.898.070.383,38.008.851.905,12416079279.0,15694702243.0,9898070383.0,38008851905.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,108.208.113.935,23.351.364.649,6.836.201.761,138.395.680.345,108208113935.0,23351364649.0,6836201761.0,138395680345.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,104.063.831.282,26.535.561.616,5.333.702.295,135.933.095.193,104063831282.0,26535561616.0,5333702295.0,135933095193.0
