row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.880.275.768,36.873.174.769,374.727.273,45.128.177.810,7880275768.0,36873174769.0,374727273.0,45128177810.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,4.114.924.403,-,-,4.114.924.403,4114924403.0,,,4114924403.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.995.200.171,36.873.174.769,374.727.273,49.243.102.213,11995200171.0,36873174769.0,374727273.0,49243102213.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,1.658.613.440,373.431.097,2.032.044.537,,1658613440.0,373431097.0,2032044537.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,3.632.744.404,1.296.176,3.634.040.580,,3632744404.0,1296176.0,3634040580.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,5.291.357.844,374.727.273,5.666.085.117,,5291357844.0,374727273.0,5666085117.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.880.275.768,35.214.561.329,1.296.176,43.096.133.273,7880275768.0,35214561329.0,1296176.0,43096133273.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.995.200.171,31.581.816.925,-,43.577.017.096,11995200171.0,31581816925.0,,43577017096.0
