row_label_raw,row_label_full,col_0,Hoạt động môi giới bắt động sản,Hoạt động chuyển nhượng bắt động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bắt động sản,numeric__Hoạt động chuyển nhượng bắt động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.145.645.553.701,4.068.481.977.753,27.022.939.839,5.241.150.471.293,1145645553701.0,4068481977753.0,27022939839.0,5241150471293.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,750.670.246.042,3.543.495.482.633,12.102.124.416,4.306.267.853.091,750670246042.0,3543495482633.0,12102124416.0,4306267853091.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,394.975.307.659,524.986.495.120,14.920.815.423,934.882.618.202,394975307659.0,524986495120.0,14920815423.0,934882618202.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,10.069.202.293,,,,10069202293.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.701.411.816.711,736.825.212.167,7.621.779.747,2.445.858.808.625,1701411816711.0,736825212167.0,7621779747.0,2445858808625.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,3.482.064.079.098,,,,3482064079098.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.701.411.816.711,736.825.212.167,7.621.779.747,5.927.922.887.723,1701411816711.0,736825212167.0,7621779747.0,5927922887723.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,120.359.446.957,83.551.703.037,277.873.241.235,361.424.944.272,120359446957.0,83551703037.0,277873241235.0,361424944272.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,2.275.937.408.049,,,,2275937408049.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,120.359.446.957,83.551.703.037,277.873.241.235,2.637.362.352.321,120359446957.0,83551703037.0,277873241235.0,2637362352321.0
