row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.276.123.620.000,991.261.882.458,(3.384.090.000),372.779.556.918,1.510.957.642.306,5.147.738.611.682,2276123620000.0,991261882458.0,-3384090000.0,372779556918.0,1510957642306.0,5147738611682.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.055.376.419.781,1.055.376.419.781,,,,,1055376419781.0,1055376419781.0
Phân phối cổ tức,Phân phối cổ tức,Phân phối cổ tức,-,-,-,-,(181.893.250.400),(181.893.250.400),,,,,-181893250400.0,-181893250400.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(1.524.800.000),-,-,(1.524.800.000),,,-1524800000.0,,,-1524800000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,-,-,(53.466.000.000),(53.466.000.000),,,,,-53466000000.0,-53466000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,427.724.000.000,(427.724.000.000),-,,,,427724000000.0,-427724000000.0,
Trích thưởng Hội đồng Quản trị và Ban Điều hành,Trích thưởng Hội đồng Quản trị và Ban Điều hành,Trích thưởng Hội đồng Quản trị và Ban Điều hành,-,-,-,-,(21.386.000.000),(21.386.000.000),,,,,-21386000000.0,-21386000000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.276.123.620.000,991.261.882.458,(4.908.890.000),800.503.556.918,1.881.864.811.687,5.944.844.981.063,2276123620000.0,991261882458.0,-4908890000.0,800503556918.0,1881864811687.0,5944844981063.0
Vốn giảm trong năm (i),Vốn giảm trong năm (i),Vốn giảm trong năm (i),(762.400.000),(797.400.000),1.524.800.000,-,-,(35.000.000),-762400000.0,-797400000.0,1524800000.0,,,-35000000.0
Vốn tăng trong năm từ phát hành mới (ii),Vốn tăng trong năm từ phát hành mới (ii),Vốn tăng trong năm từ phát hành mới (ii),150.000.000.000,1.260.946.550.000,-,-,-,1.410.946.550.000,150000000000.0,1260946550000.0,,,,1410946550000.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (iii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (iii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (iii),36.354.980.000,(35.000.000),-,-,-,36.319.980.000,36354980000.0,-35000000.0,,,,36319980000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.774.616.226.407,1.774.616.226.407,,,,,1774616226407.0,1774616226407.0
Phân phối cổ tức (Thuyết minh 26) (iv),Phân phối cổ tức (Thuyết minh 26) (iv),Phân phối cổ tức (Thuyết minh 26) (iv),-,-,-,-,(762.662.698.800),(762.662.698.800),,,,,-762662698800.0,-762662698800.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (v)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (v)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (v)",-,-,-,-,(51.452.000.000),(51.452.000.000),,,,,-51452000000.0,-51452000000.0
Trích quỹ đầu tư phát triển (v),Trích quỹ đầu tư phát triển (v),Trích quỹ đầu tư phát triển (v),-,-,-,411.617.000.000,(411.617.000.000),-,,,,411617000000.0,-411617000000.0,
Trích thưởng Hội đồng Quản trị và Ban Điều hành (v),Trích thưởng Hội đồng Quản trị và Ban Điều hành (v),Trích thưởng Hội đồng Quản trị và Ban Điều hành (v),-,-,-,-,(12.348.000.000),(12.348.000.000),,,,,-12348000000.0,-12348000000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.461.716.200.000,2.251.376.032.458,(3.384.090.000),1.212.120.556.918,2.418.401.339.294,8.340.230.038.670,2461716200000.0,2251376032458.0,-3384090000.0,1212120556918.0,2418401339294.0,8340230038670.0
