row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,557.784.111.372,139.990.807.616,697.774.918.988,557784111372.0,139990807616.0,697774918988.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.269.150.000,4.269.150.000,,4269150000.0,4269150000.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),-,3.895.673.360,3.895.673.360,,3895673360.0,3895673360.0
Tại ngày 31 tháng 12 năm 2022 (*),Nguyên giá > Tại ngày 31 tháng 12 năm 2022 (*),Tại ngày 31 tháng 12 năm 2022 (*),557.784.111.372,148.155.630.976,705.939.742.348,557784111372.0,148155630976.0,705939742348.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,46.926.615.165,46.926.615.165,,46926615165.0,46926615165.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,16.314.857.855,16.314.857.855,,16314857855.0,16314857855.0
Tại ngày 31 tháng 12 năm 2022,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,-,63.241.473.020,63.241.473.020,,63241473020.0,63241473020.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,557.784.111.372,93.064.192.451,650.848.303.823,557784111372.0,93064192451.0,650848303823.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,557.784.111.372,84.914.157.956,642.698.269.328,557784111372.0,84914157956.0,642698269328.0
