row_label_raw,row_label_full,Vay ngân hàng (*)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam- Chi nhánh Hóc Môn,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam- Chi nhánh Hóc Môn,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam- Chi nhánh Hóc Môn
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam
Ngân hàng TMCP Đông Nam stack,Ngân hàng TMCP Đông Nam stack,Ngân hàng TMCP Đông Nam stack
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam)
Ngân hàng TNHH CTBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Thành phố Hồ Chí Minh
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội
China Construction Bank Corporation- Chi nhánh Thành phố Hồ Chí Minh,China Construction Bank Corporation- Chi nhánh Thành phố Hồ Chí Minh,China Construction Bank Corporation- Chi nhánh Thành phố Hồ Chí Minh
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex
Ngân hàng TNHH MTV Woori Việt Nam,Ngân hàng TNHH MTV Woori Việt Nam,Ngân hàng TNHH MTV Woori Việt Nam
Ngân hàng KEB Hana Bank Việt Nam- Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng KEB Hana Bank Việt Nam- Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng KEB Hana Bank Việt Nam- Chi nhánh Thành phố Hồ Chí Minh
Ngân hàng The Siam Commercial Bank- Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng The Siam Commercial Bank- Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng The Siam Commercial Bank- Chi nhánh Thành phố Hồ Chí Minh
Vay cá nhân (**),Vay cá nhân (**),Vay cá nhân (**)
Bên liên quan (Thuyết minh 36(b)),Bên liên quan (Thuyết minh 36(b)),Bên liên quan (Thuyết minh 36(b))
