row_label_raw,row_label_full,Công ty TNHH MTV Thời trang CAO,3.362.089.022,2.325.089.493,numeric__3.362.089.022,numeric__2.325.089.493
Công ty TNHH MTV Giám định PNJ,Công ty TNHH MTV Giám định PNJ,Công ty TNHH MTV Giám định PNJ,-,100.000.000,,100000000.0
Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,11.418.221.742,10.084.181.002,11418221742.0,10084181002.0
,,,14.780.310.764,12.509.270.495,14780310764.0,12509270495.0
