row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phiếu,31/12/2020,31/12/2020_1,Giá gốc (*) VND,Số lượng cổ phiếu_1,1/1/2020,1/1/2020_1,Giá gốc (*) VND_1,numeric__Địa chỉ,numeric__Số lượng cổ phiếu,numeric__31/12/2020,numeric__31/12/2020_1,numeric__Giá gốc (*) VND,numeric__Số lượng cổ phiếu_1,numeric__1/1/2020,numeric__1/1/2020_1,numeric__Giá gốc (*) VND_1
,,,Địa chỉ,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,Giá gốc (*) VND,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,Giá gốc (*) VND,,,,,,,,,
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,,
Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,,,,,,,,,
Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển > Ngôi sao Xanh,Ngôi sao Xanh,Hải Phòng,,100%,100%,70.000.000.000,,100%,100%,70.000.000.000,,,1.0,1.0,70000000000.0,,1.0,1.0,70000000000.0
Công ty Cổ phần Container Miền Trung,Công ty TNHH Một thành viên Vận tải biển > Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,Đà Nẵng,1.982.500,65%,65%,19.825.000.000,1.982.500,65%,65%,19.825.000.000,,1982500.0,0.65,0.65,19825000000.0,1982500.0,0.65,0.65,19825000000.0
Công ty TNHH Một thành viên Viconship,Công ty TNHH Một thành viên Viconship,Công ty TNHH Một thành viên Viconship,Thành phố,,,,,,,,,,,,,,,,,
Hồ Chí Minh,Công ty TNHH Một thành viên Viconship > Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,100%,100%,6.000.000.000,,100%,100%,6.000.000.000,,,1.0,1.0,6000000000.0,,1.0,1.0,6000000000.0
Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,,,,,,,,,
Trung tâm Logistics Xanh,Công ty TNHH Một thành viên > Trung tâm Logistics Xanh,Trung tâm Logistics Xanh,Hải Phòng,,100%,100%,90.000.000.000,,100%,100%,90.000.000.000,,,1.0,1.0,90000000000.0,,1.0,1.0,90000000000.0
Công ty Cổ phần Cảng Xanh VIP,Công ty TNHH Một thành viên > Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,Hải Phòng,47.025.000,74%,74%,518.850.000.000,47.025.000,74%,74%,518.850.000.000,,47025000.0,0.74,0.74,518850000000.0,47025000.0,0.74,0.74,518850000000.0
Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công ty TNHH Một thành viên > Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Hải Phòng,8.040.000,66%,66%,80.400.000.000,8.040.000,66%,66%,80.400.000.000,,8040000.0,0.66,0.66,80400000000.0,8040000.0,0.66,0.66,80400000000.0
Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty TNHH Một thành viên > Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Hải Phòng,,100%,100%,110.000.000.000,,-,-,-,,,1.0,1.0,110000000000.0,,,,
,,,,,,,895.075.000.000,,,,785.075.000.000,,,,,895075000000.0,,,,785075000000.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,
Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty liên kết > Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,Đà Nẵng,1.332.000,31%,31%,14.430.000.000,1.332.000,31%,31%,14.430.000.000,,1332000.0,0.31,0.31,14430000000.0,1332000.0,0.31,0.31,14430000000.0
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Hải Phòng,8.820.200,22%,22%,80.991.207.286,8.820.200,22%,22%,80.991.207.286,,8820200.0,0.22,0.22,80991207286.0,8820200.0,0.22,0.22,80991207286.0
Công ty TNHH Tuyên Container T.S. Hà Nội,Công ty liên kết > Công ty TNHH Tuyên Container T.S. Hà Nội,Công ty TNHH Tuyên Container T.S. Hà Nội,Hải Phòng,,30%,30%,2.002.500.000,,30%,30%,2.002.500.000,,,0.3,0.3,2002500000.0,,0.3,0.3,2002500000.0
,,,,,,,97.423.707.286,,,,97.423.707.286,,,,,97423707286.0,,,,97423707286.0
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,,,,,
Công ty TNHH MSC Việt Nam,Công ty TNHH MSC Việt Nam,Công ty TNHH MSC Việt Nam,Thành phố,,,,,,,,,,,,,,,,,
Công ty TNHH MSC Việt Nam,Công ty TNHH MSC Việt Nam > Công ty TNHH MSC Việt Nam,Công ty TNHH MSC Việt Nam,Hồ Chí Minh,,5%,5%,155.000.000,,5%,5%,155.000.000,,,0.05,0.05,155000000.0,,0.05,0.05,155000000.0
,,,,,,,992.653.707.286,,,,882.653.707.286,,,,,992653707286.0,,,,882653707286.0
