row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Các công ty con > Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,4.720.728.515,-,4720728515.0,
Công ty Cổ phần Container Miền Trung,Các công ty con > Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,42.644.001,336.980.001,42644001.0,336980001.0
Công ty Cổ phần Cảng Xanh VIP,Các công ty con > Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,7.084.000,1.051.584.600,7084000.0,1051584600.0
Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Các công ty con > Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Công ty TNHH Một thành viên Trung tâm Logistics Xanh,-,2.529.856.801,,2529856801.0
Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,Các công ty con > Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,-,2.275.538.200,,2275538200.0
Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Các công ty con > Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,-,180.890.000,,180890000.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,-,12.481.898.444,,12481898444.0
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Người bán là các bên thứ ba > Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,3.180.937.513,3.518.043.267,3180937513.0,3518043267.0
Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Người bán là các bên thứ ba > Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,2.312.140.100,3.766.984.821,2312140100.0,3766984821.0
Công ty Cổ phần Thương mại và Dịch vụ VOSCO,Người bán là các bên thứ ba > Công ty Cổ phần Thương mại và Dịch vụ VOSCO,Công ty Cổ phần Thương mại và Dịch vụ VOSCO,913.285.824,1.225.637.974,913285824.0,1225637974.0
Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Người bán là các bên thứ ba > Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,-,1.877.175.300,,1877175300.0
Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,Người bán là các bên thứ ba > Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,-,500.095.440,,500095440.0
Công ty Cổ phần CMA-CGM Việt Nam,Người bán là các bên thứ ba > Công ty Cổ phần CMA-CGM Việt Nam,Công ty Cổ phần CMA-CGM Việt Nam,-,35.260.416,,35260416.0
Các nhà cung cấp khác,Người bán là các bên thứ ba > Các nhà cung cấp khác,Các nhà cung cấp khác,3.971.603.000,7.312.585.385,3971603000.0,7312585385.0
,,,15.148.422.953,37.092.530.649,15148422953.0,37092530649.0
