row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,165.508.764.190,24.308.334.546,238.288.264.547,2.112.567.065,430.217.930.348,165508764190.0,24308334546.0,238288264547.0,2112567065.0,430217930348.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,1.265.781.818,312.850.000,1.578.631.818,,,1265781818.0,312850000.0,1578631818.0
Góp vốn vào Công ty TNHH,Góp vốn vào Công ty TNHH,Góp vốn vào Công ty TNHH,,,,,,,,,,
Một thành viên Dịch vụ Cảng Xanh,Góp vốn vào Công ty TNHH > Một thành viên Dịch vụ Cảng Xanh,Một thành viên Dịch vụ Cảng Xanh,(143.723.960.957),(23.873.687.546),(195.449.394.156),(999.323.566),(364.046.366.225),-143723960957.0,-23873687546.0,-195449394156.0,-999323566.0,-364046366225.0
Số dư cuối năm,Góp vốn vào Công ty TNHH > Số dư cuối năm,Số dư cuối năm,21.784.803.233,434.647.000,44.104.652.209,1.426.093.499,67.750.195.941,21784803233.0,434647000.0,44104652209.0,1426093499.0,67750195941.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,144.882.776.498,10.846.266.139,206.449.350.200,1.759.175.692,363.937.568.529,144882776498.0,10846266139.0,206449350200.0,1759175692.0,363937568529.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,1.289.619.216,168.999.984,3.649.263.618,175.611.888,5.283.494.706,1289619216.0,168999984.0,3649263618.0,175611888.0,5283494706.0
Góp vốn vào Công ty TNHH,Góp vốn vào Công ty TNHH,Góp vốn vào Công ty TNHH,,,,,,,,,,
Một thành viên Dịch vụ Cảng Xanh,Góp vốn vào Công ty TNHH > Một thành viên Dịch vụ Cảng Xanh,Một thành viên Dịch vụ Cảng Xanh,(132.563.348.210),(10.580.619.123),(174.750.939.477),(999.323.566),(318.894.230.376),-132563348210.0,-10580619123.0,-174750939477.0,-999323566.0,-318894230376.0
Số dư cuối năm,Góp vốn vào Công ty TNHH > Số dư cuối năm,Số dư cuối năm,13.609.047.504,434.647.000,35.347.674.341,935.464.014,50.326.832.859,13609047504.0,434647000.0,35347674341.0,935464014.0,50326832859.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.625.987.692,13.462.068.407,31.838.914.347,353.391.373,66.280.361.819,20625987692.0,13462068407.0,31838914347.0,353391373.0,66280361819.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,8.175.755.729,-,8.756.977.868,490.629.485,17.423.363.082,8175755729.0,,8756977868.0,490629485.0,17423363082.0
