row_label_raw,row_label_full,Ông Nguyễn Việt Hòa,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Văn Tiến,Ông Nguyễn Văn Tiến,Ông Nguyễn Văn Tiến,Thành viên,
Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Thành viên,
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên,
Ông Nghiêm Tuấn Anh,Ông Nghiêm Tuấn Anh,Ông Nghiêm Tuấn Anh,Thành viên,
Ông Nguyễn Thế Duy,Ông Nguyễn Thế Duy,Ông Nguyễn Thế Duy,Thành viên (từ ngày 19/6/2020),
Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên (từ ngày 19/6/2020),
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Thành viên (từ ngày 19/6/2020),
Bà Đặng Trần Gia Thoại,Bà Đặng Trần Gia Thoại,Bà Đặng Trần Gia Thoại,Thành viên (từ ngày 19/6/2020),
Ông Trần Xuân Bạo,Ông Trần Xuân Bạo,Ông Trần Xuân Bạo,Thành viên (đến ngày 18/6/2020),
Bà Hoàng Thị Hà,Bà Hoàng Thị Hà,Bà Hoàng Thị Hà,Thành viên (đến ngày 18/6/2020),
Ông Hoàng Trọng Giang,Ông Hoàng Trọng Giang,Ông Hoàng Trọng Giang,Thành viên (đến ngày 18/6/2020),
Ông Hoàng Tiến Lục,Ông Hoàng Tiến Lục,Ông Hoàng Tiến Lục,Thành viên (đến ngày 18/6/2020),
